trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_observed,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02463030000217259,,0.0039029000035952777,0.02463030000217259,0.02463030000217259,0.02463030000217259,0.02463030000217259,5.852549300005194,3.0,2,0.13,0.26,True,l,5.827824999985751,None,004750,,2024-02-12_20h57.00.749,bart,2023.2.2,59.89680977135016,2024-02-12 20h57.07.148576 +0000,
1,0,1,0,5.867930199980037,,5.853967400005786,5.867930199980037,5.867930199980037,5.867930199980037,5.867930199980037,7.2723148000077344,7.0,6,0.19,0.38,True,l,1.4076303000038024,None,004750,,2024-02-12_20h57.00.749,bart,2023.2.2,59.89680977135016,2024-02-12 20h57.07.148576 +0000,
2,0,2,0,7.287432099983562,,7.273100799997337,7.287432099983562,7.287432099983562,7.287432099983562,7.287432099983562,8.491789199993946,6.0,5,0.175,0.35,True,l,1.21153579998645,None,004750,,2024-02-12_20h57.00.749,bart,2023.2.2,59.89680977135016,2024-02-12 20h57.07.148576 +0000,
,,,,8.50694689998636,,8.492580799997086,8.50694689998636,8.50694689998636,8.50694689998636,8.50694689998636,,,,,,,,,,,,,,,,,
