trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,choice.stopped,nPumps,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.010602900001686066,,0.0036780999798793346,0.010602900001686066,0.010602900001686066,0.010602900001686066,7.778857600002084,12.0,0.28,0.56,False,a,7.767781499976991,None,538038,,2024-02-12_20h48.59.238,bart,2023.2.2,59.9559563610969,2024-02-12 20h49.08.166321 +0000,
1,0,1,0,7.793691300001228,,7.779872399987653,7.793691300001228,7.793691300001228,7.793691300001228,9.181424899987178,5.0,0.175,0.35,False,a,1.3909817999810912,None,538038,,2024-02-12_20h48.59.238,bart,2023.2.2,59.9559563610969,2024-02-12 20h49.08.166321 +0000,
2,0,2,0,9.196740099985618,,9.182147299987264,9.196740099985618,9.196740099985618,9.196740099985618,10.333812800003216,5.0,0.175,0.35,False,a,1.1415217999892775,None,538038,,2024-02-12_20h48.59.238,bart,2023.2.2,59.9559563610969,2024-02-12 20h49.08.166321 +0000,
3,0,3,0,10.349032500002068,,10.334525799989933,10.349032500002068,10.349032500002068,10.349032500002068,11.135509699990507,4.0,0.16,0.32,False,a,0.7882913999783341,None,538038,,2024-02-12_20h48.59.238,bart,2023.2.2,59.9559563610969,2024-02-12 20h49.08.166321 +0000,
4,0,4,0,11.150845500000287,,11.136177999986103,11.150845500000287,11.150845500000287,11.150845500000287,14.292558799992548,18.0,0.37,0.74,False,a,3.138673099980224,None,538038,,2024-02-12_20h48.59.238,bart,2023.2.2,59.9559563610969,2024-02-12 20h49.08.166321 +0000,
