7.0746 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
8.6857 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D81008FBE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D81008FB80>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D81008F9A0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D8102E38E0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.6859 	EXP 	window1: mouseVisible = True
8.6859 	EXP 	window1: backgroundImage = ''
8.6859 	EXP 	window1: backgroundFit = 'none'
8.6906 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.6907 	EXP 	window1: recordFrameIntervals = False
8.8524 	EXP 	window1: recordFrameIntervals = True
9.0371 	EXP 	Screen (0) actual frame rate measured at 59.74Hz
9.0373 	EXP 	window1: recordFrameIntervals = False
9.0375 	EXP 	window1: mouseVisible = True
11.7162 	EXP 	bart: status = STARTED
11.7165 	EXP 	window1: mouseVisible = True
11.7200 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([0.1, 0.2]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
11.7202 	EXP 	window1: mouseVisible = True
11.7847 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
11.7848 	EXP 	window1: mouseVisible = True
11.7924 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0036 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0038 	EXP 	New trial (rep=0, index=0): None
0.0106 	EXP 	balloon: autoDraw = True
0.0106 	EXP 	pump: autoDraw = True
0.0106 	EXP 	bank: autoDraw = True
1.0538 	DATA 	Keypress: l
1.0555 	EXP 	New trial (rep=1, index=0): None
1.0684 	EXP 	balloon: autoDraw = False
1.0684 	EXP 	pump: autoDraw = False
1.0684 	EXP 	bank: autoDraw = False
1.0684 	EXP 	balloon: autoDraw = True
1.0684 	EXP 	pump: autoDraw = True
1.0684 	EXP 	bank: autoDraw = True
2.5055 	DATA 	Keypress: l
2.5064 	EXP 	New trial (rep=2, index=0): None
2.5217 	EXP 	balloon: autoDraw = False
2.5217 	EXP 	pump: autoDraw = False
2.5217 	EXP 	bank: autoDraw = False
2.5217 	EXP 	balloon: autoDraw = True
2.5217 	EXP 	pump: autoDraw = True
2.5217 	EXP 	bank: autoDraw = True
2.8897 	DATA 	Keypress: l
2.8907 	EXP 	New trial (rep=3, index=0): None
2.9058 	EXP 	balloon: autoDraw = False
2.9058 	EXP 	pump: autoDraw = False
2.9058 	EXP 	bank: autoDraw = False
2.9058 	EXP 	balloon: autoDraw = True
2.9058 	EXP 	pump: autoDraw = True
2.9058 	EXP 	bank: autoDraw = True
3.2930 	DATA 	Keypress: a
3.3079 	EXP 	New trial (rep=4, index=0): None
3.3232 	EXP 	balloon: autoDraw = False
3.3232 	EXP 	pump: autoDraw = False
3.3232 	EXP 	bank: autoDraw = False
3.3232 	EXP 	balloon: autoDraw = True
3.3232 	EXP 	pump: autoDraw = True
3.3232 	EXP 	bank: autoDraw = True
3.7418 	DATA 	Keypress: l
3.7575 	EXP 	balloon: autoDraw = False
3.7575 	EXP 	pump: autoDraw = False
3.7575 	EXP 	bank: autoDraw = False
3.7575 	EXP 	bart: status = STOPPED
4.0593 	EXP 	window1: mouseVisible = True
