trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,boomSlide.stopped,soundEffect.stopped,ending.started,feedbackFinal.started,key_resp_2.started,feedbackFinal.stopped,key_resp_2.stopped,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,100.56228959999862,,100.54648469999665,100.56228959999862,100.56228959999862,100.56228959999862,100.56228959999862,100.56228959999862,100.56228959999862,101.27951310000208,1,2,True,0,45,2.25,0.1234375,0.246875,"['l', 'l']","[0.5454365000041435, 0.713680699991528]","[None, None]",101.28069640000467,101.29513530000986,101.29496355999872,102.31108189999941,102.2944748000009,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
11,0,11,0,102.31108189999941,,102.29482629999984,102.31108189999941,102.31108189999941,102.31108189999941,102.31108189999941,102.31108189999941,102.31108189999941,110.10683319999953,26,27,True,0,45,2.25,0.709375,1.41875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[2.470957899990026, 2.7820610999915516, 2.9510843999887584, 3.1185562999889953, 3.294251200000872, 3.4715089999954216, 3.6307978999975603, 3.80754349999188, 3.982774399992195, 4.166743199995835, 4.343488599988632, 4.5177408999879844, 4.6945401999983005, 4.886521199994604, 5.054498899989994, 5.223467299991171, 5.407501599998795, 5.581868799999938, 5.766860999996425, 5.941713699998218, 6.133881999994628, 6.48605019999377, 6.678019599989057, 6.855040800001007, 7.183250499991118, 7.39925439999206, 7.807078599988017]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",110.10799790000601,110.12092760000087,110.12165786000405,111.12019620000501,111.10413049999624,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
12,0,12,0,111.12019620000501,,111.10452039999655,111.12019620000501,111.12019620000501,111.12019620000501,111.12019620000501,111.12019620000501,111.12019620000501,113.28667810000479,24,1,False,0.05,46,2.3,0.1234375,0.246875,"['l', 'a']","[2.02086090001103, 2.1730078000109643]","[None, None]",113.28784669999732,113.33316950000881,113.30178096000309,113.33316950000881,113.30999380000867,113.33316950000881,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
13,0,13,0,113.33316950000881,,113.31058550000307,113.33316950000881,113.33316950000881,113.33316950000881,113.33316950000881,113.33316950000881,113.33316950000881,113.9695711999957,22,1,False,0.05,47,2.35,0.1234375,0.246875,"['l', 'a']","[0.4679156999918632, 0.6369061000004876]","[None, None]",113.9710527999996,114.00544960000843,113.98449596000573,114.00544960000843,113.98976510000648,114.00544960000843,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
14,0,14,0,114.00544960000843,,113.99011090000567,114.00544960000843,114.00544960000843,114.00544960000843,114.00544960000843,114.00544960000843,114.00544960000843,114.38549980000244,13,1,False,0.05,48,2.4,0.1234375,0.246875,"['l', 'a']","[0.1797958999959519, 0.37207509999279864]","[None, None]",114.38670420000562,114.41515739999886,114.40082616,114.41515739999886,114.39998329999798,114.41515739999886,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
15,0,15,0,114.41515739999886,,114.40033479999693,114.41515739999886,114.41515739999886,114.41515739999886,114.41515739999886,114.41515739999886,114.41515739999886,114.80158040000242,19,1,False,0.05,49,2.45,0.1234375,0.246875,"['l', 'a']","[0.1695115999900736, 0.37791539999307133]","[None, None]",114.80277360000764,114.83598420000635,114.81710606000415,114.83598420000635,114.81972580000001,114.83598420000635,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
16,0,16,0,114.83598420000635,,114.8200557000091,114.83598420000635,114.83598420000635,114.83598420000635,114.83598420000635,114.83598420000635,114.83598420000635,115.25176240000292,5,1,False,0.05,50,2.5,0.1234375,0.246875,"['l', 'a']","[0.18222370000148658, 0.42136540000501554]","[None, None]",115.25411080000049,115.28956730000209,115.2665941600033,115.28956730000209,115.26962950000598,115.28956730000209,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
17,0,17,0,115.28956730000209,,115.27017859999614,115.28956730000209,115.28956730000209,115.28956730000209,115.28956730000209,115.28956730000209,115.28956730000209,115.90108470000268,3,1,False,0.05,51,2.55,0.1234375,0.246875,"['l', 'a']","[0.2888074000074994, 0.616557000001194]","[None, None]",115.9022743999958,115.93606790000922,115.9162612600092,115.93606790000922,115.92027950000193,115.93606790000922,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
18,0,18,0,115.93606790000922,,115.92062550000264,115.93606790000922,115.93606790000922,115.93606790000922,115.93606790000922,115.93606790000922,115.93606790000922,116.5670017000084,15,1,False,0.05,52,2.6,0.1234375,0.246875,"['l', 'a']","[0.33682739999494515, 0.6254417999880388]","[None, None]",116.56821789999958,116.61521080000966,116.58247266000107,116.61521080000966,116.60018370000762,116.61521080000966,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
19,0,19,0,116.61521080000966,,116.60053550000885,116.61521080000966,116.61521080000966,116.61521080000966,116.61521080000966,116.61521080000966,116.61521080000966,117.24982369999634,2,1,False,0.05,53,2.65,0.1234375,0.246875,"['l', 'a']","[0.32227200000488665, 0.626277300005313]","[None, None]",117.25094209999952,117.29506089999632,117.26514196000498,117.29506089999632,117.27959940000437,117.29506089999632,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
