7.6564 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.3515 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F384474CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F384474C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F384474AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F384644790>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.3516 	EXP 	window1: mouseVisible = True
9.3517 	EXP 	window1: backgroundImage = ''
9.3517 	EXP 	window1: backgroundFit = 'none'
9.3537 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.3538 	EXP 	window1: recordFrameIntervals = False
9.5186 	EXP 	window1: recordFrameIntervals = True
9.7021 	EXP 	Screen (0) actual frame rate measured at 59.91Hz
9.7021 	EXP 	window1: recordFrameIntervals = False
9.7023 	EXP 	window1: mouseVisible = True
12.3630 	EXP 	bart: status = STARTED
12.3633 	EXP 	window1: mouseVisible = True
12.3669 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([1., 1.]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.3671 	EXP 	window1: mouseVisible = True
12.4322 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.4323 	EXP 	window1: mouseVisible = True
12.4400 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0036 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0038 	EXP 	New trial (rep=0, index=0): None
0.0106 	EXP 	balloon: autoDraw = True
0.0106 	EXP 	pump: autoDraw = True
0.0106 	EXP 	bank: autoDraw = True
1.5760 	DATA 	Keypress: l
2.0398 	DATA 	Keypress: l
2.3404 	DATA 	Keypress: l
2.5909 	DATA 	Keypress: l
2.7914 	DATA 	Keypress: l
2.9751 	DATA 	Keypress: l
3.1586 	DATA 	Keypress: l
3.3426 	DATA 	Keypress: l
3.5096 	DATA 	Keypress: l
3.6931 	DATA 	Keypress: l
3.8772 	DATA 	Keypress: l
4.0444 	DATA 	Keypress: l
4.1972 	DATA 	Keypress: l
4.3617 	DATA 	Keypress: l
4.5452 	DATA 	Keypress: l
4.7162 	DATA 	Keypress: l
4.8793 	DATA 	Keypress: l
5.0633 	DATA 	Keypress: l
5.2302 	DATA 	Keypress: l
5.3972 	DATA 	Keypress: l
5.5643 	DATA 	Keypress: l
5.7314 	DATA 	Keypress: l
5.8844 	DATA 	Keypress: l
6.0484 	DATA 	Keypress: l
6.2156 	DATA 	Keypress: l
6.3827 	DATA 	Keypress: l
6.5360 	DATA 	Keypress: l
6.7026 	DATA 	Keypress: l
6.8839 	DATA 	Keypress: l
7.0369 	DATA 	Keypress: l
7.2043 	DATA 	Keypress: l
7.3685 	DATA 	Keypress: l
7.5352 	DATA 	Keypress: l
7.7020 	DATA 	Keypress: l
7.8695 	DATA 	Keypress: l
8.0364 	DATA 	Keypress: l
8.1893 	DATA 	Keypress: l
8.3566 	DATA 	Keypress: l
8.5375 	DATA 	Keypress: l
8.7046 	DATA 	Keypress: l
8.8719 	DATA 	Keypress: l
9.0386 	DATA 	Keypress: l
9.1894 	DATA 	Keypress: l
9.3563 	DATA 	Keypress: l
9.5260 	DATA 	Keypress: l
9.6929 	DATA 	Keypress: l
9.8769 	DATA 	Keypress: l
10.0579 	DATA 	Keypress: l
10.2751 	DATA 	Keypress: l
10.6258 	DATA 	Keypress: l
10.9433 	DATA 	Keypress: l
11.1270 	DATA 	Keypress: l
11.2773 	DATA 	Keypress: l
11.4612 	DATA 	Keypress: l
11.6305 	DATA 	Keypress: l
11.8286 	DATA 	Keypress: l
12.0289 	DATA 	Keypress: l
12.2296 	DATA 	Keypress: l
12.4301 	DATA 	Keypress: l
12.6306 	DATA 	Keypress: l
12.7976 	DATA 	Keypress: l
12.9500 	DATA 	Keypress: l
13.1173 	DATA 	Keypress: l
13.2849 	DATA 	Keypress: l
13.4487 	DATA 	Keypress: l
13.6159 	DATA 	Keypress: l
13.7829 	DATA 	Keypress: l
13.9502 	DATA 	Keypress: l
14.1171 	DATA 	Keypress: l
14.4012 	DATA 	Keypress: a
14.4026 	EXP 	New trial (rep=1, index=0): None
14.4152 	EXP 	balloon: autoDraw = False
14.4152 	EXP 	pump: autoDraw = False
14.4152 	EXP 	bank: autoDraw = False
14.4152 	EXP 	balloon: autoDraw = True
14.4152 	EXP 	pump: autoDraw = True
14.4152 	EXP 	bank: autoDraw = True
14.8003 	DATA 	Keypress: l
14.9506 	DATA 	Keypress: l
15.1177 	DATA 	Keypress: l
15.2704 	DATA 	Keypress: l
15.4352 	DATA 	Keypress: l
15.6022 	DATA 	Keypress: l
15.7692 	DATA 	Keypress: l
15.9362 	DATA 	Keypress: a
15.9373 	EXP 	New trial (rep=2, index=0): None
15.9520 	EXP 	balloon: autoDraw = False
15.9520 	EXP 	pump: autoDraw = False
15.9520 	EXP 	bank: autoDraw = False
15.9520 	EXP 	balloon: autoDraw = True
