trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.022884600010002032,,0.0036551000084728003,0.022884600010002032,0.022884600010002032,0.022884600010002032,0.022884600010002032,6.042816800007131,5,6,True,0,0,0.0,0.175,0.35,"['l', 'l', 'l', 'l', 'l', 'l']","[3.948868499996024, 4.581336899995222, 4.830303700000513, 5.100677299997187, 5.389854299995932, 6.01267050000024]","[None, None, None, None, None, None]",,,,,,,,240613,,2024-02-15_19h02.11.192,bart,2023.2.2,60.037126955453346,2024-02-15 19h02.18.757997 +0000,
1,0,1,0,6.058923600008711,,6.04858120001154,6.058923600008711,6.058923600008711,6.058923600008711,6.058923600008711,10.322075500007486,1,2,True,0,0,0.0,0.115,0.23,"['l', 'l']","[3.3409278000035556, 4.253054800006794]","[None, None]",,,,,,,,240613,,2024-02-15_19h02.11.192,bart,2023.2.2,60.037126955453346,2024-02-15 19h02.18.757997 +0000,
2,0,2,0,10.33751170001051,,10.32291410000471,10.33751170001051,10.33751170001051,10.33751170001051,10.33751170001051,12.654028100005235,4,2,False,0.1,2,0.1,0.13,0.26,"['l', 'l', 'a']","[1.5896670000074664, 1.885754699993413, 2.3248195000051055]","[None, None, None]",,,,,,,,240613,,2024-02-15_19h02.11.192,bart,2023.2.2,60.037126955453346,2024-02-15 19h02.18.757997 +0000,
3,0,3,0,12.669066900009057,,12.654951800010167,12.669066900009057,12.669066900009057,12.669066900009057,12.669066900009057,16.134616499999538,3,1,False,0.05,3,0.15,0.115,0.23,"['l', 'a']","[3.056443699999363, 3.4642868999944767]","[None, None]",,,,,,,,240613,,2024-02-15_19h02.11.192,bart,2023.2.2,60.037126955453346,2024-02-15 19h02.18.757997 +0000,
4,0,4,0,16.14941370001179,,16.135897100000875,16.14941370001179,16.14941370001179,16.14941370001179,16.14941370001179,18.365940500007127,2,1,False,0.05,4,0.2,0.115,0.23,"['l', 'a']","[1.6789042000018526, 2.215018400005647]","[None, None]",,,,,,,,240613,,2024-02-15_19h02.11.192,bart,2023.2.2,60.037126955453346,2024-02-15 19h02.18.757997 +0000,
,,,,,,,,,,,,,,,,,,,,,,,18.36702590000641,18.381128100008937,18.381128100008937,23.361049200000707,space,4.965767899993807,None,240613,,2024-02-15_19h02.11.192,bart,2023.2.2,60.037126955453346,2024-02-15 19h02.18.757997 +0000,
