trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningLastBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03693449999263976,,0.00373810000019148,0.03693449999263976,0.03693449999263976,0.03693449999263976,0.03693449999263976,0.03693449999263976,0.03693449999263976,14.67816650000168,2,2,False,0.1,2,0.1,0.13,0.26,"['l', 'l', 'a']","[9.337768199999118, 10.64995409999392, 14.63395109999692]","[None, None, None]",,,,723283,,2024-02-15_19h12.38.757,bart,2023.2.2,60.0501779245137,2024-02-15 19h12.45.449832 +0000,
1,0,1,0,14.695995599991875,,14.6794169999921,14.695995599991875,14.695995599991875,14.695995599991875,14.695995599991875,14.695995599991875,14.695995599991875,20.207520600000862,1,2,True,0,2,0.1,0.115,0.23,"['l', 'l']","[4.81368520000251, 5.509932800006936]","[None, None]",,,,723283,,2024-02-15_19h12.38.757,bart,2023.2.2,60.0501779245137,2024-02-15 19h12.45.449832 +0000,
2,0,2,0,20.225453199993353,,20.209156900004018,20.225453199993353,20.225453199993353,20.225453199993353,20.225453199993353,20.225453199993353,20.225453199993353,26.669127799992566,4,3,False,0.15000000000000002,5,0.25,0.14500000000000002,0.29000000000000004,"['l', 'l', 'l', 'a']","[2.98206609999761, 4.079128400000627, 5.254170400003204, 6.446930300007807]","[None, None, None, None]",,,,723283,,2024-02-15_19h12.38.757,bart,2023.2.2,60.0501779245137,2024-02-15 19h12.45.449832 +0000,
3,0,3,0,26.692513200003305,,26.670306999993045,26.692513200003305,26.692513200003305,26.692513200003305,26.692513200003305,26.692513200003305,26.692513200003305,29.46843340000487,3,3,False,0.15000000000000002,8,0.4,0.14500000000000002,0.29000000000000004,"['l', 'l', 'l', 'a']","[1.003447299997788, 1.4113532999908784, 2.0036736999900313, 2.772256500000367]","[None, None, None, None]",,,,723283,,2024-02-15_19h12.38.757,bart,2023.2.2,60.0501779245137,2024-02-15 19h12.45.449832 +0000,
4,0,4,0,29.499422399996547,,29.470490699997754,29.499422399996547,29.499422399996547,29.499422399996547,29.499422399996547,29.499422399996547,29.499422399996547,34.112715299997944,5,3,False,0.15000000000000002,11,0.55,0.14500000000000002,0.29000000000000004,"['l', 'l', 'l', 'a']","[1.5296225999918533, 1.857439199986402, 2.8099073999910615, 4.617020499994396]","[None, None, None, None]",,,,723283,,2024-02-15_19h12.38.757,bart,2023.2.2,60.0501779245137,2024-02-15 19h12.45.449832 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,34.113442599991686,34.12759340000048,34.12759340000048,,,,,,,,
