7.2914 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
8.9049 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026186A33CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026186A33C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026186A33AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026186DC27F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9050 	EXP 	window1: mouseVisible = True
8.9050 	EXP 	window1: backgroundImage = ''
8.9050 	EXP 	window1: backgroundFit = 'none'
8.9068 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.9068 	EXP 	window1: recordFrameIntervals = False
9.0716 	EXP 	window1: recordFrameIntervals = True
9.2561 	EXP 	Screen (0) actual frame rate measured at 59.81Hz
9.2561 	EXP 	window1: recordFrameIntervals = False
9.2563 	EXP 	window1: mouseVisible = True
11.9247 	EXP 	bart: status = STARTED
11.9249 	EXP 	window1: mouseVisible = True
11.9287 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([0.1, 0.2]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
11.9289 	EXP 	window1: mouseVisible = True
11.9952 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
11.9954 	EXP 	window1: mouseVisible = True
12.0026 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0036 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0038 	EXP 	New trial (rep=0, index=0): None
0.0106 	EXP 	balloon: autoDraw = True
0.0106 	EXP 	pump: autoDraw = True
0.0106 	EXP 	bank: autoDraw = True
0.5619 	DATA 	Keypress: l
0.5634 	EXP 	New trial (rep=1, index=0): None
0.5765 	EXP 	balloon: autoDraw = False
0.5765 	EXP 	pump: autoDraw = False
0.5765 	EXP 	bank: autoDraw = False
0.5765 	EXP 	balloon: autoDraw = True
0.5765 	EXP 	pump: autoDraw = True
0.5765 	EXP 	bank: autoDraw = True
1.4961 	DATA 	Keypress: l
1.4970 	EXP 	New trial (rep=2, index=0): None
1.5119 	EXP 	balloon: autoDraw = False
1.5119 	EXP 	pump: autoDraw = False
1.5119 	EXP 	bank: autoDraw = False
1.5119 	EXP 	balloon: autoDraw = True
1.5119 	EXP 	pump: autoDraw = True
1.5119 	EXP 	bank: autoDraw = True
3.2330 	DATA 	Keypress: a
3.2339 	EXP 	New trial (rep=3, index=0): None
3.2490 	EXP 	balloon: autoDraw = False
3.2490 	EXP 	pump: autoDraw = False
3.2490 	EXP 	bank: autoDraw = False
3.2490 	EXP 	balloon: autoDraw = True
3.2490 	EXP 	pump: autoDraw = True
3.2490 	EXP 	bank: autoDraw = True
3.6507 	DATA 	Keypress: l
3.6515 	EXP 	New trial (rep=4, index=0): None
3.6665 	EXP 	balloon: autoDraw = False
3.6665 	EXP 	pump: autoDraw = False
3.6665 	EXP 	bank: autoDraw = False
3.6665 	EXP 	balloon: autoDraw = True
3.6665 	EXP 	pump: autoDraw = True
3.6665 	EXP 	bank: autoDraw = True
4.1183 	DATA 	Keypress: l
4.1343 	EXP 	balloon: autoDraw = False
4.1343 	EXP 	pump: autoDraw = False
4.1343 	EXP 	bank: autoDraw = False
4.1344 	EXP 	bart: status = STOPPED
4.2911 	EXP 	window1: mouseVisible = True
