7.6191 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.2483 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D4FD354CA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D4FD354C40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D4FD354AC0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D4FD5A5670>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.2484 	EXP 	window1: mouseVisible = True
9.2485 	EXP 	window1: backgroundImage = ''
9.2485 	EXP 	window1: backgroundFit = 'none'
9.2512 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.2513 	EXP 	window1: recordFrameIntervals = False
9.4153 	EXP 	window1: recordFrameIntervals = True
9.5995 	EXP 	Screen (0) actual frame rate measured at 59.80Hz
9.5996 	EXP 	window1: recordFrameIntervals = False
9.5997 	EXP 	window1: mouseVisible = True
12.3596 	EXP 	bart: status = STARTED
12.3599 	EXP 	window1: mouseVisible = True
12.3643 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([1., 1.]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.3646 	EXP 	window1: mouseVisible = True
12.4322 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.4324 	EXP 	window1: mouseVisible = True
12.4400 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0035 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0037 	EXP 	New trial (rep=0, index=0): None
0.0104 	EXP 	balloon: autoDraw = True
0.0104 	EXP 	pump: autoDraw = True
0.0104 	EXP 	bank: autoDraw = True
1.1528 	DATA 	Keypress: l
2.1872 	DATA 	Keypress: l
2.9221 	DATA 	Keypress: l
3.3899 	DATA 	Keypress: l
3.8407 	DATA 	Keypress: l
4.2584 	DATA 	Keypress: l
4.4088 	DATA 	Keypress: l
4.5756 	DATA 	Keypress: l
4.7259 	DATA 	Keypress: l
4.8961 	DATA 	Keypress: l
5.0603 	DATA 	Keypress: l
5.2271 	DATA 	Keypress: l
5.3941 	DATA 	Keypress: l
5.5779 	DATA 	Keypress: l
5.7617 	DATA 	Keypress: l
5.9644 	DATA 	Keypress: l
6.1959 	DATA 	Keypress: l
6.3652 	DATA 	Keypress: l
6.5490 	DATA 	Keypress: l
6.7136 	DATA 	Keypress: l
6.8641 	DATA 	Keypress: l
7.0144 	DATA 	Keypress: l
7.1813 	DATA 	Keypress: l
7.3484 	DATA 	Keypress: l
7.5176 	DATA 	Keypress: l
7.6850 	DATA 	Keypress: l
7.8660 	DATA 	Keypress: l
8.0329 	DATA 	Keypress: l
8.2002 	DATA 	Keypress: l
8.3839 	DATA 	Keypress: l
8.5677 	DATA 	Keypress: l
8.7510 	DATA 	Keypress: l
8.9183 	DATA 	Keypress: l
9.0855 	DATA 	Keypress: l
9.2694 	DATA 	Keypress: l
9.4528 	DATA 	Keypress: l
9.6392 	DATA 	Keypress: l
