trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,earnings.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.06222439999692142,,0.0036546000046655536,0.06222439999692142,0.06222439999692142,0.06222439999692142,0.06222439999692142,3.3642594999982975,1,2,True,0,0.115,0.23,"['l', 'l']","[2.8879273000056855, 3.3038997999974526]","[None, None]",,,,354922,,2024-02-13_18h07.24.255,bart,2023.2.2,60.13135092209484,2024-02-13 18h07.31.154442 +0000,
1,0,1,0,3.445920100028161,,3.3653874000301585,3.445920100028161,3.445920100028161,3.445920100028161,3.445920100028161,3.9476105000358075,2,3,True,0,0.13,0.26,"['l', 'l', 'l']","[0.06371199997374788, 0.20845360000384971, 0.5039243999635801]","[None, None, None]",,,,354922,,2024-02-13_18h07.24.255,bart,2023.2.2,60.13135092209484,2024-02-13 18h07.31.154442 +0000,
2,0,2,0,3.973839299986139,,3.948479100014083,3.973839299986139,3.973839299986139,3.973839299986139,3.973839299986139,5.512755300034769,5,4,False,0.2,0.16,0.32,"['l', 'l', 'l', 'l', 'a']","[0.1189689000020735, 0.27899510000133887, 0.4555787999997847, 0.6232825000188313, 1.5358515999978408]","[None, None, None, None, None]",,,,354922,,2024-02-13_18h07.24.255,bart,2023.2.2,60.13135092209484,2024-02-13 18h07.31.154442 +0000,
3,0,3,0,5.538669000030495,,5.513534800033085,5.538669000030495,5.538669000030495,5.538669000030495,5.538669000030495,8.093500600021798,4,1,False,0.05,0.115,0.23,"['a', 'a', 'a', 'l', 'a']","[1.1453141000238247, 1.2907919000135735, 1.4494685000390746, 2.1391235000337474, 2.546014000021387]","[None, None, None, None, None]",,,,354922,,2024-02-13_18h07.24.255,bart,2023.2.2,60.13135092209484,2024-02-13 18h07.31.154442 +0000,
4,0,4,0,8.120212699985132,,8.094401100010145,8.120212699985132,8.120212699985132,8.120212699985132,8.120212699985132,8.643416700011585,3,1,False,0.05,0.115,0.23,"['l', 'a']","[0.3805986999650486, 0.5166208999580704]","[None, None]",,,,354922,,2024-02-13_18h07.24.255,bart,2023.2.2,60.13135092209484,2024-02-13 18h07.31.154442 +0000,
,,,,,,,,,,,,,,,,,,,,,8.644121700024698,8.657125000027008,8.657125000027008,,,,,,,,
