7.7888 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.4289 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024FB4B60BE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024FB4B60B80>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024FB4B609A0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024FB4D738E0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4292 	EXP 	window1: mouseVisible = True
9.4292 	EXP 	window1: backgroundImage = ''
9.4292 	EXP 	window1: backgroundFit = 'none'
9.4335 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.4336 	EXP 	window1: recordFrameIntervals = False
9.5955 	EXP 	window1: recordFrameIntervals = True
9.7796 	EXP 	Screen (0) actual frame rate measured at 59.86Hz
9.7797 	EXP 	window1: recordFrameIntervals = False
9.7798 	EXP 	window1: mouseVisible = True
12.4514 	EXP 	bart: status = STARTED
12.4516 	EXP 	window1: mouseVisible = True
12.4550 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([1., 1.]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.4552 	EXP 	window1: mouseVisible = True
12.5216 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.5218 	EXP 	window1: mouseVisible = True
12.5289 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0034 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0037 	EXP 	New trial (rep=0, index=0): None
0.0103 	EXP 	balloon: autoDraw = True
0.0103 	EXP 	pump: autoDraw = True
0.0103 	EXP 	bank: autoDraw = True
0.4927 	DATA 	Keypress: l
4.2190 	DATA 	Keypress: a
4.2202 	EXP 	New trial (rep=1, index=0): None
4.2319 	EXP 	balloon: autoDraw = False
4.2319 	EXP 	pump: autoDraw = False
4.2319 	EXP 	bank: autoDraw = False
4.2319 	EXP 	balloon: autoDraw = True
4.2319 	EXP 	pump: autoDraw = True
4.2319 	EXP 	bank: autoDraw = True
5.5197 	DATA 	Keypress: a
5.5221 	EXP 	New trial (rep=2, index=0): None
5.5347 	EXP 	balloon: autoDraw = False
5.5347 	EXP 	pump: autoDraw = False
5.5347 	EXP 	bank: autoDraw = False
5.5347 	EXP 	balloon: autoDraw = True
5.5347 	EXP 	pump: autoDraw = True
5.5347 	EXP 	bank: autoDraw = True
5.7693 	DATA 	Keypress: a
5.7705 	EXP 	New trial (rep=3, index=0): None
5.7852 	EXP 	balloon: autoDraw = False
5.7852 	EXP 	pump: autoDraw = False
5.7852 	EXP 	bank: autoDraw = False
5.7852 	EXP 	balloon: autoDraw = True
5.7852 	EXP 	pump: autoDraw = True
5.7852 	EXP 	bank: autoDraw = True
5.9698 	DATA 	Keypress: a
5.9711 	EXP 	New trial (rep=4, index=0): None
5.9855 	EXP 	balloon: autoDraw = False
5.9855 	EXP 	pump: autoDraw = False
5.9855 	EXP 	bank: autoDraw = False
5.9855 	EXP 	balloon: autoDraw = True
5.9855 	EXP 	pump: autoDraw = True
5.9855 	EXP 	bank: autoDraw = True
6.1895 	DATA 	Keypress: a
6.2194 	EXP 	balloon: autoDraw = False
6.2194 	EXP 	pump: autoDraw = False
6.2194 	EXP 	bank: autoDraw = False
6.2194 	EXP 	bart: status = STOPPED
6.4333 	EXP 	window1: mouseVisible = True
