trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,choice.stopped,nPumps,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.010700000013457611,,0.003879900003084913,0.010700000013457611,0.010700000013457611,0.010700000013457611,1.2688323000038508,1,False,l,1.2544122000108473,None,261338,,2024-02-12_20h15.17.055,bart,2023.2.2,59.80682395675487,2024-02-12 20h15.24.356605 +0000,
1,0,1,0,1.282527500006836,,1.2696677000203636,1.282527500006836,1.282527500006836,1.282527500006836,2.853597200009972,1,False,l,1.581441399990581,None,261338,,2024-02-12_20h15.17.055,bart,2023.2.2,59.80682395675487,2024-02-12 20h15.24.356605 +0000,
2,0,2,0,2.869248500006506,,2.8541749000141863,2.869248500006506,2.869248500006506,2.869248500006506,3.2382266000204254,1,False,l,0.3812168999866117,None,261338,,2024-02-12_20h15.17.055,bart,2023.2.2,59.80682395675487,2024-02-12 20h15.24.356605 +0000,
3,0,3,0,3.2533961000153795,,3.238730700017186,3.2533961000153795,3.2533961000153795,3.2533961000153795,3.5722800999938045,0,False,a,0.31616839999333024,None,261338,,2024-02-12_20h15.17.055,bart,2023.2.2,59.80682395675487,2024-02-12 20h15.24.356605 +0000,
4,0,4,0,3.5873332000046503,,3.5728197999997064,3.5873332000046503,3.5873332000046503,3.5873332000046503,4.273291000019526,0,False,a,0.694295699999202,None,261338,,2024-02-12_20h15.17.055,bart,2023.2.2,59.80682395675487,2024-02-12 20h15.24.356605 +0000,
