trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,choice.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.010567099991021678,,0.003932899999199435,0.010567099991021678,0.010567099991021678,0.010567099991021678,2.4759090000006836,a,2.46056919998955,None,992597,,2024-02-12_19h57.19.130,bart,2023.2.2,59.74922056774335,2024-02-12 19h57.25.670012 +0000,
1,0,1,0,2.4918073000153527,,2.476523899997119,2.4918073000153527,2.4918073000153527,2.4918073000153527,3.027024600014556,a,0.5482270999928005,None,992597,,2024-02-12_19h57.19.130,bart,2023.2.2,59.74922056774335,2024-02-12 19h57.25.670012 +0000,
2,0,2,0,3.0429826000181492,,3.027466200001072,3.0429826000181492,3.0429826000181492,3.0429826000181492,3.6116725000028964,a,0.5827890000073239,None,992597,,2024-02-12_19h57.19.130,bart,2023.2.2,59.74922056774335,2024-02-12 19h57.25.670012 +0000,
3,0,3,0,3.627760000003036,,3.6121327000146266,3.627760000003036,3.627760000003036,3.627760000003036,3.878902800002834,l,0.25264469999819994,None,992597,,2024-02-12_19h57.19.130,bart,2023.2.2,59.74922056774335,2024-02-12 19h57.25.670012 +0000,
4,0,4,0,3.8949610000126995,,3.8796637000050396,3.8949610000126995,3.8949610000126995,3.8949610000126995,4.179538700002013,l,0.29023939999751747,None,992597,,2024-02-12_19h57.19.130,bart,2023.2.2,59.74922056774335,2024-02-12 19h57.25.670012 +0000,
