7.9574 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.5248 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000201D76F93A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000201D76F9340>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000201D76F9190>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000201D78C41C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.5250 	EXP 	window1: mouseVisible = True
9.5250 	EXP 	window1: backgroundImage = ''
9.5250 	EXP 	window1: backgroundFit = 'none'
9.5282 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.5283 	EXP 	window1: recordFrameIntervals = False
9.6915 	EXP 	window1: recordFrameIntervals = True
9.8760 	EXP 	Screen (0) actual frame rate measured at 59.81Hz
9.8762 	EXP 	window1: recordFrameIntervals = False
9.8764 	EXP 	window1: mouseVisible = True
12.7579 	EXP 	bart: status = STARTED
12.7581 	EXP 	window1: mouseVisible = True
12.7615 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([0.1, 0.2]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.7617 	EXP 	window1: mouseVisible = True
12.8274 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.8275 	EXP 	window1: mouseVisible = True
12.8353 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0037 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0039 	EXP 	New trial (rep=0, index=0): None
0.0107 	EXP 	balloon: autoDraw = True
0.0107 	EXP 	pump: autoDraw = True
0.0107 	EXP 	bank: autoDraw = True
1.2679 	DATA 	Keypress: l
1.2696 	EXP 	New trial (rep=1, index=0): None
1.2825 	EXP 	balloon: autoDraw = False
1.2825 	EXP 	pump: autoDraw = False
1.2825 	EXP 	bank: autoDraw = False
1.2825 	EXP 	balloon: autoDraw = True
1.2825 	EXP 	pump: autoDraw = True
1.2825 	EXP 	bank: autoDraw = True
2.8532 	DATA 	Keypress: l
2.8542 	EXP 	New trial (rep=2, index=0): None
2.8692 	EXP 	balloon: autoDraw = False
2.8692 	EXP 	pump: autoDraw = False
2.8692 	EXP 	bank: autoDraw = False
2.8692 	EXP 	balloon: autoDraw = True
2.8692 	EXP 	pump: autoDraw = True
2.8692 	EXP 	bank: autoDraw = True
3.2377 	DATA 	Keypress: l
3.2387 	EXP 	New trial (rep=3, index=0): None
3.2534 	EXP 	balloon: autoDraw = False
3.2534 	EXP 	pump: autoDraw = False
3.2534 	EXP 	bank: autoDraw = False
3.2534 	EXP 	balloon: autoDraw = True
3.2534 	EXP 	pump: autoDraw = True
3.2534 	EXP 	bank: autoDraw = True
3.5568 	DATA 	Keypress: a
3.5728 	EXP 	New trial (rep=4, index=0): None
3.5873 	EXP 	balloon: autoDraw = False
3.5873 	EXP 	pump: autoDraw = False
3.5873 	EXP 	bank: autoDraw = False
3.5873 	EXP 	balloon: autoDraw = True
3.5873 	EXP 	pump: autoDraw = True
3.5873 	EXP 	bank: autoDraw = True
4.2729 	DATA 	Keypress: a
4.2887 	EXP 	balloon: autoDraw = False
4.2887 	EXP 	pump: autoDraw = False
4.2887 	EXP 	bank: autoDraw = False
4.2888 	EXP 	bart: status = STOPPED
4.4089 	EXP 	window1: mouseVisible = True
