trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,soundEffect.stopped,boomSlide.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03739769999992859,,0.004748999999719672,0.03739769999992859,0.03739769999992859,0.03739769999992859,0.03739769999992859,0.03739769999992859,8.131473499999629,10,11,True,0,0,0.0,0.334375,0.66875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[3.3085248000006686, 4.092567499999859, 4.492545400000381, 4.907724099999541, 5.31605540000055, 5.7799715000001015, 6.259655400001066, 6.6916901000004145, 7.156412199999977, 7.611840800000209, 8.060353599999871]","[None, None, None, None, None, None, None, None, None, None, None]",8.13896080000086,8.144056000001001,0.0011204000002180692,9.346954800001186,0.9959604000014224,9.333450899999661,114823,,2024-04-01_16h52.53.052,bart,2023.2.2,59.701599465872754,2024-04-01 16h53.00.580575 +0100,
1,0,1,0,9.346954800001186,,9.334014199999729,9.346954800001186,9.346954800001186,9.346954800001186,9.346954800001186,9.346954800001186,21.043902600000365,26,27,True,0,0,0.0,0.709375,1.41875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.9499367999997048, 1.1645344999997178, 1.3419516000012663, 1.509410900000148, 1.6615999000005104, 1.8218532000009873, 1.9406522000008408, 2.3087553000004846, 2.6701642999996693, 3.0608444000008603, 3.517640800000663, 3.988650700001017, 4.493365800000902, 5.173089699999764, 5.629501299999902, 6.013923200000136, 6.389435500001127, 6.765803100000994, 7.173561499999778, 8.414108700000725, 8.884661400001278, 9.373409800000445, 9.869110999999975, 10.302365400000781, 10.772957500001212, 11.213582500000484, 11.693510600000081]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",21.04515960000026,21.058566900001097,0.0010450999998283805,22.057550400000764,1.0124630999998772,22.255449399999634,114823,,2024-04-01_16h52.53.052,bart,2023.2.2,59.701599465872754,2024-04-01 16h53.00.580575 +0100,
,,,,22.26316829999996,,22.255812700001115,22.26316829999996,22.26316829999996,22.26316829999996,22.26316829999996,22.26316829999996,,,,,,,,,,,,,,,,,,,,,,,,,,
