trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_done,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.01858989999163896,,0.003932699968572706,0.01858989999163896,0.01858989999163896,0.01858989999163896,0.01858989999163896,7.8611069999751635,9,8,0.22,0.44,True,"['l', 'l', 'l', 'a', 'a', 'a', 'l', 'l', 'l', 'a', 'l', 'l', 'l']","[1.3604883000371046, 1.5535858999937773, 1.7219352000392973, 2.7379091000184417, 5.224144100036938, 5.800672500045039, 6.409241900022607, 6.576270600024145, 6.728555900044739, 6.904302800016012, 7.24857230001362, 7.456518699997105, 7.84011010004906]","[None, None, None, None, None, None, None, None, None, None, None, None, None]",265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
1,0,1,0,7.876599800016265,,7.862505999975838,7.876599800016265,7.876599800016265,7.876599800016265,7.876599800016265,9.01054170000134,3,10,0.14500000000000002,0.29000000000000004,False,"['l', 'l', 'l', 'a']","[0.6559586999937892, 0.8080950999865308, 0.9519637000048533, 1.1370910999830812]","[None, None, None, None]",265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
2,0,2,0,9.025955599965528,,9.011366899998393,9.025955599965528,9.025955599965528,9.025955599965528,9.025955599965528,12.974083599983715,4,5,0.16,0.32,False,"['l', 'l', 'l', 'l', 'a']","[3.340456399950199, 3.4992161999689415, 3.65229779999936, 3.8041931999614462, 3.947207299992442]","[None, None, None, None, None]",265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
3,0,3,0,12.989489300001878,,12.974849099991843,12.989489300001878,12.989489300001878,12.989489300001878,12.989489300001878,13.790453599998727,2,3,0.13,0.26,False,"['l', 'l', 'a']","[0.4557931000017561, 0.6236500000231899, 0.8088558000163175]","[None, None, None]",265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
4,0,4,0,13.805099199991673,,13.791626299964264,13.805099199991673,13.805099199991673,13.805099199991673,13.805099199991673,14.372918999986723,0,4,0.1,0.2,False,['a'],[0.56764620001195],[None],265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
5,0,5,0,14.388119500014,,14.373830099997576,14.388119500014,14.388119500014,14.388119500014,14.388119500014,14.639444899978116,0,7,0.1,0.2,False,['a'],[0.2564443000010215],[None],265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
6,0,6,0,14.654526099970099,,14.640275300014764,14.654526099970099,14.654526099970099,14.654526099970099,14.654526099970099,14.805964500003029,0,2,0.1,0.2,False,['a'],[0.1593980000470765],[None],265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
7,0,7,0,14.821041100018192,,14.806706400006078,14.821041100018192,14.821041100018192,14.821041100018192,14.821041100018192,14.972589800017886,0,6,0.1,0.2,False,['a'],[0.1610518000088632],[None],265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
8,0,8,0,14.98767439997755,,14.973421600006986,14.98767439997755,14.98767439997755,14.98767439997755,14.98767439997755,15.138650799985044,0,1,0.1,0.2,False,['a'],[0.14641240000491962],[None],265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
9,0,9,0,15.15418429998681,,15.139633999962825,15.15418429998681,15.15418429998681,15.15418429998681,15.15418429998681,15.488799699989613,0,9,0.1,0.2,False,['a'],[0.33731700002681464],[None],265599,,2024-02-13_17h11.00.139,bart,2023.2.2,60.12502396790514,2024-02-13 17h11.07.395871 +0000,
