9.7879 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
11.5641 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019C3EFED9D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019C3EFEDCD0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019C3EFEDAF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019C3F1C3AF0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.5643 	EXP 	window1: mouseVisible = True
11.5643 	EXP 	window1: backgroundImage = ''
11.5643 	EXP 	window1: backgroundFit = 'none'
11.5673 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.5674 	EXP 	window1: recordFrameIntervals = False
11.7314 	EXP 	window1: recordFrameIntervals = True
11.9151 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
11.9152 	EXP 	window1: recordFrameIntervals = False
11.9153 	EXP 	window1: mouseVisible = True
14.5871 	EXP 	bart: status = STARTED
14.5874 	EXP 	window1: mouseVisible = True
