trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03864169999724254,,0.00380330000189133,0.03864169999724254,0.03864169999724254,0.03864169999724254,0.03864169999724254,0.03864169999724254,0.03864169999724254,2.5950081999908434,3,4,True,0,0,0.0,0.5199999999999999,1.0399999999999998,"['l', 'l', 'l', 'l']","[0.985616600009962, 1.3464724000077695, 1.7454313000052935, 2.561739700002363]","[None, None, None, None]",,,,,,,,832067,,2024-02-15_19h26.39.616,bart,2023.2.2,59.93173775070396,2024-02-15 19h26.45.920776 +0000,
1,0,1,0,2.6146134000009624,,2.596338100003777,2.6146134000009624,2.6146134000009624,2.6146134000009624,2.6146134000009624,2.6146134000009624,2.6146134000009624,5.075293899993994,4,5,True,0,0,0.0,0.6599999999999999,1.3199999999999998,"['l', 'l', 'l', 'l', 'l']","[0.41637780000746716, 0.680452200002037, 0.920857100005378, 1.169875299994601, 2.466422199999215]","[None, None, None, None, None]",,,,,,,,832067,,2024-02-15_19h26.39.616,bart,2023.2.2,59.93173775070396,2024-02-15 19h26.45.920776 +0000,
2,0,2,0,5.089947400003439,,5.076335099991411,5.089947400003439,5.089947400003439,5.089947400003439,5.089947400003439,5.089947400003439,5.089947400003439,5.841694499991718,2,3,True,0,0,0.0,0.38,0.76,"['l', 'l', 'l']","[0.2941232000011951, 0.5271448999992572, 0.7582889000041177]","[None, None, None]",,,,,,,,832067,,2024-02-15_19h26.39.616,bart,2023.2.2,59.93173775070396,2024-02-15 19h26.45.920776 +0000,
3,0,3,0,5.859352699990268,,5.842911500003538,5.859352699990268,5.859352699990268,5.859352699990268,5.859352699990268,5.859352699990268,5.859352699990268,21.711885800003074,5,6,True,0,0,0.0,0.7999999999999999,1.5999999999999999,"['l', 'l', 'l', 'l', 'l', 'l']","[0.7655737000022782, 1.0054719999898225, 1.2540734999929555, 1.5256215999979759, 1.8456503999914275, 15.861215900004026]","[None, None, None, None, None, None]",,,,,,,,832067,,2024-02-15_19h26.39.616,bart,2023.2.2,59.93173775070396,2024-02-15 19h26.45.920776 +0000,
4,0,4,0,21.726439799997024,,21.712747300000046,21.726439799997024,21.726439799997024,21.726439799997024,21.726439799997024,21.726439799997024,21.726439799997024,25.69132250000257,1,2,True,0,0,0.0,0.24,0.48,"['l', 'l']","[3.4185853999952087, 3.9694321999995736]","[None, None]",,,,,,,,832067,,2024-02-15_19h26.39.616,bart,2023.2.2,59.93173775070396,2024-02-15 19h26.45.920776 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,25.692037300002994,25.706272700001136,25.706272700001136,26.439922799996566,space,0.7325382999988506,None,832067,,2024-02-15_19h26.39.616,bart,2023.2.2,59.93173775070396,2024-02-15 19h26.45.920776 +0000,
