7.4760 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.1221 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DE545A4CA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DE545A4C40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DE545A4A90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001DE547735E0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.1222 	EXP 	window1: mouseVisible = True
9.1222 	EXP 	window1: backgroundImage = ''
9.1223 	EXP 	window1: backgroundFit = 'none'
9.1263 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.1263 	EXP 	window1: recordFrameIntervals = False
9.2889 	EXP 	window1: recordFrameIntervals = True
9.4726 	EXP 	Screen (0) actual frame rate measured at 59.92Hz
9.4726 	EXP 	window1: recordFrameIntervals = False
9.4727 	EXP 	window1: mouseVisible = True
12.2225 	EXP 	bart: status = STARTED
12.2227 	EXP 	window1: mouseVisible = True
12.2264 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([0.1, 0.2]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.2267 	EXP 	window1: mouseVisible = True
12.2935 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.2937 	EXP 	window1: mouseVisible = True
12.3014 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0034 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0036 	EXP 	New trial (rep=0, index=0): None
0.0107 	EXP 	balloon: autoDraw = True
0.0107 	EXP 	pump: autoDraw = True
0.0107 	EXP 	bank: autoDraw = True
1.0655 	DATA 	Keypress: l
1.7171 	DATA 	Keypress: l
2.0846 	DATA 	Keypress: l
2.4329 	DATA 	Keypress: l
2.6859 	DATA 	Keypress: l
2.9843 	DATA 	Keypress: l
3.2513 	DATA 	Keypress: l
3.5187 	DATA 	Keypress: l
3.8026 	DATA 	Keypress: l
4.1198 	DATA 	Keypress: l
4.4206 	DATA 	Keypress: l
4.7213 	DATA 	Keypress: l
5.0559 	DATA 	Keypress: a
5.0588 	EXP 	New trial (rep=1, index=0): None
5.0712 	EXP 	balloon: autoDraw = False
5.0712 	EXP 	pump: autoDraw = False
5.0712 	EXP 	bank: autoDraw = False
5.0712 	EXP 	balloon: autoDraw = True
5.0712 	EXP 	pump: autoDraw = True
5.0712 	EXP 	bank: autoDraw = True
5.5898 	DATA 	Keypress: a
5.5908 	EXP 	New trial (rep=2, index=0): None
5.6055 	EXP 	balloon: autoDraw = False
5.6055 	EXP 	pump: autoDraw = False
5.6055 	EXP 	bank: autoDraw = False
5.6055 	EXP 	balloon: autoDraw = True
5.6055 	EXP 	pump: autoDraw = True
5.6055 	EXP 	bank: autoDraw = True
6.0575 	DATA 	Keypress: a
6.0588 	EXP 	New trial (rep=3, index=0): None
6.0734 	EXP 	balloon: autoDraw = False
6.0734 	EXP 	pump: autoDraw = False
6.0734 	EXP 	bank: autoDraw = False
6.0734 	EXP 	balloon: autoDraw = True
6.0734 	EXP 	pump: autoDraw = True
6.0734 	EXP 	bank: autoDraw = True
6.3081 	DATA 	Keypress: l
6.5417 	DATA 	Keypress: l
6.8422 	DATA 	Keypress: a
6.8432 	EXP 	New trial (rep=4, index=0): None
6.8584 	EXP 	balloon: autoDraw = False
6.8584 	EXP 	pump: autoDraw = False
6.8584 	EXP 	bank: autoDraw = False
6.8584 	EXP 	balloon: autoDraw = True
6.8584 	EXP 	pump: autoDraw = True
6.8584 	EXP 	bank: autoDraw = True
7.7444 	DATA 	Keypress: l
8.1116 	DATA 	Keypress: a
8.1277 	EXP 	balloon: autoDraw = False
8.1277 	EXP 	pump: autoDraw = False
8.1277 	EXP 	bank: autoDraw = False
8.1278 	EXP 	bart: status = STOPPED
8.2685 	EXP 	window1: mouseVisible = True
