trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,choice.stopped,nPumps_observed,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.010496400005649775,,0.004069799993885681,0.010496400005649775,0.010496400005649775,0.010496400005649775,3.4047831000061706,9.0,8,0.22,0.44,True,l,3.3905489000026137,None,787748,,2024-02-12_20h53.17.657,bart,2023.2.2,59.901438172777496,2024-02-12 20h53.24.814492 +0000,
1,0,1,0,3.419853300001705,,3.405735199979972,3.419853300001705,3.419853300001705,3.419853300001705,4.874231499998132,4.0,3,0.14500000000000002,0.29000000000000004,True,l,1.4526966999983415,None,787748,,2024-02-12_20h53.17.657,bart,2023.2.2,59.901438172777496,2024-02-12 20h53.24.814492 +0000,
2,0,2,0,4.889683999994304,,4.874956499988912,4.889683999994304,4.889683999994304,4.889683999994304,7.19683279999299,10.0,9,0.23500000000000001,0.47000000000000003,True,l,2.303777599998284,None,787748,,2024-02-12_20h53.17.657,bart,2023.2.2,59.901438172777496,2024-02-12 20h53.24.814492 +0000,
3,0,3,0,7.211194300005445,,7.198154299985617,7.211194300005445,7.211194300005445,7.211194300005445,9.000054300006013,10.0,9,0.23500000000000001,0.47000000000000003,True,l,1.7881630999909248,None,787748,,2024-02-12_20h53.17.657,bart,2023.2.2,59.901438172777496,2024-02-12 20h53.24.814492 +0000,
4,0,4,0,9.015153399988776,,9.00096360000316,9.015153399988776,9.015153399988776,9.015153399988776,11.037622999981977,11.0,10,0.25,0.5,True,l,2.025309599994216,None,787748,,2024-02-12_20h53.17.657,bart,2023.2.2,59.901438172777496,2024-02-12 20h53.24.814492 +0000,
