trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_done,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.01624739996623248,,0.0039091999642550945,0.01624739996623248,0.01624739996623248,0.01624739996623248,0.01624739996623248,3.6839251999626867,2,2,0.13,0.26,False,a,3.6614709999994375,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
1,0,1,0,3.699059199949261,,3.6849414999596775,3.699059199949261,3.699059199949261,3.699059199949261,3.699059199949261,5.998342099948786,6,6,0.19,0.38,False,a,2.2928906000452116,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
2,0,2,0,6.013689899991732,,5.999063099967316,6.013689899991732,6.013689899991732,6.013689899991732,6.013689899991732,7.76361409999663,6,5,0.175,0.35,True,l,1.7477123000426218,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
3,0,3,0,7.831145999953151,,7.821952899976168,7.831145999953151,7.831145999953151,7.831145999953151,7.831145999953151,8.546911299985368,2,1,0.115,0.23,True,l,0.7172457000124268,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
4,0,4,0,8.561545799952,,8.548148399975616,8.561545799952,8.561545799952,8.561545799952,8.561545799952,11.194279499992263,5,4,0.16,0.32,True,l,2.638377399998717,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
5,0,5,0,11.209598599991295,,11.195066099986434,11.209598599991295,11.209598599991295,11.209598599991295,11.209598599991295,12.65974879998248,4,3,0.14500000000000002,0.29000000000000004,True,l,1.448592800006736,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
6,0,6,0,12.674907999986317,,12.660653200000525,12.674907999986317,12.674907999986317,12.674907999986317,12.674907999986317,15.407387599989306,10,10,0.25,0.5,False,a,2.7275165000464767,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
7,0,7,0,15.422765399969649,,15.408170099952258,15.422765399969649,15.422765399969649,15.422765399969649,15.422765399969649,17.63865929999156,10,9,0.23500000000000001,0.47000000000000003,True,l,2.2206390999490395,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
8,0,8,0,17.65402599994559,,17.63950809999369,17.65402599994559,17.65402599994559,17.65402599994559,17.65402599994559,19.887175699986983,9,8,0.22,0.44,True,l,2.2367356999893673,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
9,0,9,0,19.9024078999646,,19.887967599963304,19.9024078999646,19.9024078999646,19.9024078999646,19.9024078999646,21.50232559995493,8,7,0.20500000000000002,0.41000000000000003,True,l,1.595432100002654,None,697476,,2024-02-13_17h03.45.162,bart,2023.2.2,59.971417621150785,2024-02-13 17h03.52.967074 +0000,
