trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0659559000050649,,0.0037455999990925193,0.0659559000050649,0.0659559000050649,0.0659559000050649,0.0659559000050649,5.640824500005692,1,1,False,0.05,1,0.05,0.115,0.23,"['a', 'a', 'l', 'a']","[4.237889099982567, 4.478438599966466, 4.789245099993423, 5.581332899979316]","[None, None, None, None]",,314993,,2024-02-13_18h47.42.320,bart,2023.2.2,59.99163717193894,2024-02-13 18h47.49.482065 +0000,
1,0,1,0,5.653993699990679,,5.642326299974229,5.653993699990679,5.653993699990679,5.653993699990679,5.653993699990679,7.603711000003386,5,1,False,0.05,2,0.1,0.115,0.23,"['l', 'a']","[1.5156416000099853, 1.947634000040125]","[None, None]",,314993,,2024-02-13_18h47.42.320,bart,2023.2.2,59.99163717193894,2024-02-13 18h47.49.482065 +0000,
2,0,2,0,7.618995099968743,,7.604643200000282,7.618995099968743,7.618995099968743,7.618995099968743,7.618995099968743,10.434821799979545,4,5,True,0,2,0.1,0.16,0.32,"['l', 'l', 'l', 'l', 'l']","[1.4229236000101082, 1.7981567999813706, 2.062888999993447, 2.3352184999966994, 2.8150876999716274]","[None, None, None, None, None]",,314993,,2024-02-13_18h47.42.320,bart,2023.2.2,59.99163717193894,2024-02-13 18h47.49.482065 +0000,
3,0,3,0,10.450046200014185,,10.435671799990814,10.450046200014185,10.450046200014185,10.450046200014185,10.450046200014185,13.182253699982539,2,2,False,0.1,4,0.2,0.13,0.26,"['l', 'l', 'a']","[1.944828400039114, 2.194162600033451, 2.729545500013046]","[None, None, None]",,314993,,2024-02-13_18h47.42.320,bart,2023.2.2,59.99163717193894,2024-02-13 18h47.49.482065 +0000,
4,0,4,0,13.197638700017706,,13.183109399979003,13.197638700017706,13.197638700017706,13.197638700017706,13.197638700017706,16.596432799997274,3,4,True,0,4,0.2,0.14500000000000002,0.29000000000000004,"['l', 'l', 'l', 'l']","[1.4948838999844156, 1.718440999975428, 1.9349910999881104, 3.40716209996026]","[None, None, None, None]",,314993,,2024-02-13_18h47.42.320,bart,2023.2.2,59.99163717193894,2024-02-13 18h47.49.482065 +0000,
,,,,,,,,,,,,,,,,,,,,,,,16.597424599982332,,,,,,,,
