trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,bangSlide.started,text.started,text.stopped,bangSlide.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03785100000095554,,0.0036336999910417944,0.03785100000095554,0.03785100000095554,0.03785100000095554,0.03785100000095554,0.03785100000095554,0.03785100000095554,1.8108876999904169,2,3,True,0,0,0.0,0.23,0.46,"['l', 'l', 'l']","[0.6640325000043958, 1.351573499996448, 1.767808899996453]","[None, None, None]",1.8121562999876915,1.8262534999958007,2.3309857999993255,2.309601000000839,658537,,2024-02-15_19h52.59.594,bart,2023.2.2,59.92089243361226,2024-02-15 19h53.08.586646 +0000,
1,0,1,0,2.3309857999993255,,2.3099011999875074,2.3309857999993255,2.3309857999993255,2.3309857999993255,2.3309857999993255,2.3309857999993255,2.3309857999993255,7.740455099992687,6,7,True,0,0,0.0,0.49,0.98,"['l', 'l', 'l', 'l', 'l', 'l', 'l']","[1.6413804000039818, 2.1694134999997914, 2.657476000007591, 3.2813748000044143, 4.385420700011309, 4.753358200003277, 5.40141940000467]","[None, None, None, None, None, None, None]",7.7419916999933776,7.754719599994132,8.25555779998831,8.238098000001628,658537,,2024-02-15_19h52.59.594,bart,2023.2.2,59.92089243361226,2024-02-15 19h53.08.586646 +0000,
2,0,2,0,8.25555779998831,,8.238368499994976,8.25555779998831,8.25555779998831,8.25555779998831,8.25555779998831,8.25555779998831,8.25555779998831,11.504818899993552,7,5,False,0.25,5,0.25,0.42500000000000004,0.8500000000000001,"['l', 'l', 'l', 'l', 'l', 'a']","[0.98966730000393, 1.3246059999946738, 1.660946599993622, 1.9967348000063794, 2.3886851999995997, 3.2370342000067467]","[None, None, None, None, None, None]",11.506225499993889,11.518375599989668,12.024983600000269,12.001965299990843,658537,,2024-02-15_19h52.59.594,bart,2023.2.2,59.92089243361226,2024-02-15 19h53.08.586646 +0000,
,,,,12.024983600000269,,12.002541499998188,12.024983600000269,12.024983600000269,12.024983600000269,12.024983600000269,12.024983600000269,12.024983600000269,,,,,,,,,,,,,,,,,,,,,,,,
