7.8965 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.5308 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014529DF4CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014529DF4C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014529DF4AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000014529FC5760>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.5310 	EXP 	window1: mouseVisible = True
9.5310 	EXP 	window1: backgroundImage = ''
9.5310 	EXP 	window1: backgroundFit = 'none'
9.5350 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.5350 	EXP 	window1: recordFrameIntervals = False
9.6975 	EXP 	window1: recordFrameIntervals = True
9.8817 	EXP 	Screen (0) actual frame rate measured at 59.88Hz
9.8818 	EXP 	window1: recordFrameIntervals = False
9.8819 	EXP 	window1: mouseVisible = True
12.6522 	EXP 	bart: status = STARTED
12.6525 	EXP 	window1: mouseVisible = True
12.6563 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([1., 1.]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.6566 	EXP 	window1: mouseVisible = True
12.7243 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.7244 	EXP 	window1: mouseVisible = True
12.7317 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0035 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0038 	EXP 	New trial (rep=0, index=0): None
0.0113 	EXP 	balloon: autoDraw = True
0.0113 	EXP 	pump: autoDraw = True
0.0113 	EXP 	bank: autoDraw = True
1.2942 	DATA 	Keypress: l
1.8603 	DATA 	Keypress: l
2.2375 	DATA 	Keypress: l
2.4846 	DATA 	Keypress: l
2.7457 	DATA 	Keypress: l
2.9962 	DATA 	Keypress: l
3.2634 	DATA 	Keypress: l
3.4804 	DATA 	Keypress: l
3.6837 	DATA 	Keypress: l
3.8839 	DATA 	Keypress: l
4.0820 	DATA 	Keypress: l
4.2657 	DATA 	Keypress: l
4.4493 	DATA 	Keypress: l
4.6164 	DATA 	Keypress: l
4.7835 	DATA 	Keypress: l
4.9512 	DATA 	Keypress: l
5.1176 	DATA 	Keypress: l
5.2681 	DATA 	Keypress: l
5.4376 	DATA 	Keypress: l
5.5882 	DATA 	Keypress: l
5.7689 	DATA 	Keypress: l
5.9360 	DATA 	Keypress: l
6.1031 	DATA 	Keypress: l
6.2699 	DATA 	Keypress: l
6.4202 	DATA 	Keypress: l
6.8380 	DATA 	Keypress: escape
6.8883 	EXP 	bart: status = STOPPED
6.9036 	EXP 	balloon: autoDraw = False
6.9036 	EXP 	pump: autoDraw = False
6.9036 	EXP 	bank: autoDraw = False
6.9037 	EXP 	bart: status = STOPPED
7.0747 	EXP 	window1: mouseVisible = True
