trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.015458100009709597,,0.003786100016441196,0.015458100009709597,0.015458100009709597,0.015458100009709597,0.015458100009709597,4.188160399964545,4,1,False,0.05,1,0.05,0.115,0.23,"['a', 'a', 'l', 'a']","[3.0343316000071354, 3.282109199964907, 3.6024499000050128, 4.178350200003479]","[None, None, None, None]",,,,,,,,096180,,2024-02-13_18h49.33.624,bart,2023.2.2,59.98102199280515,2024-02-13 18h49.40.359481 +0000,
1,0,1,0,4.202721300011035,,4.1894375999690965,4.202721300011035,4.202721300011035,4.202721300011035,4.202721300011035,5.303409999993164,2,1,False,0.05,2,0.1,0.115,0.23,"['l', 'a']","[0.7583674999768846, 1.0946087999618612]","[None, None]",,,,,,,,096180,,2024-02-13_18h49.33.624,bart,2023.2.2,59.98102199280515,2024-02-13 18h49.40.359481 +0000,
2,0,2,0,5.318460799986497,,5.3043481999775395,5.318460799986497,5.318460799986497,5.318460799986497,5.318460799986497,6.252817699976731,1,1,False,0.05,3,0.15,0.115,0.23,"['l', 'a']","[0.5831872000126168, 0.9354808999923989]","[None, None]",,,,,,,,096180,,2024-02-13_18h49.33.624,bart,2023.2.2,59.98102199280515,2024-02-13 18h49.40.359481 +0000,
3,0,3,0,6.267986999999266,,6.253755000012461,6.267986999999266,6.267986999999266,6.267986999999266,6.267986999999266,7.085225399991032,3,1,False,0.05,4,0.2,0.115,0.23,"['l', 'a']","[0.5265372999710962, 0.8237164000165649]","[None, None]",,,,,,,,096180,,2024-02-13_18h49.33.624,bart,2023.2.2,59.98102199280515,2024-02-13 18h49.40.359481 +0000,
4,0,4,0,7.100650499982294,,7.086148399976082,7.100650499982294,7.100650499982294,7.100650499982294,7.100650499982294,8.867159799963702,5,4,False,0.2,8,0.4,0.16,0.32,"['l', 'l', 'l', 'l', 'a']","[0.4903205999871716, 0.6903272999916226, 0.8820738999638706, 1.0660938000073656, 1.761708499980159]","[None, None, None, None, None]",,,,,,,,096180,,2024-02-13_18h49.33.624,bart,2023.2.2,59.98102199280515,2024-02-13 18h49.40.359481 +0000,
,,,,,,,,,,,,,,,,,,,,,,,8.868834699969739,8.882145199982915,8.882145199982915,12.896816199994646,space,4.00839219999034,None,096180,,2024-02-13_18h49.33.624,bart,2023.2.2,59.98102199280515,2024-02-13 18h49.40.359481 +0000,
