trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,boomSlide.stopped,soundEffect.stopped,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,43.36599399999977,,43.34724090000236,43.36599399999977,43.36599399999977,43.36599399999977,43.36599399999977,43.36599399999977,43.36599399999977,46.70053570000164,32,16,False,0.8,110,5.5,0.475,0.95,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.18072850000316976, 0.340266100000008, 0.5082546999983606, 0.6773841000031098, 0.837200900001335, 1.0048362000015914, 1.1805273999998462, 1.3804010000021663, 1.555959299999813, 1.9009603000013158, 2.124830500004464, 2.3089495000022, 2.5082560000009835, 2.7085893000039505, 2.908563100005267, 3.0838712000040687, 3.3320721999989473]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",46.70181360000424,46.73326210000232,46.71573721999812,46.73326210000232,46.7163115000003,46.73326210000232,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
11,0,11,0,46.73326210000232,,46.71686190000037,46.73326210000232,46.73326210000232,46.73326210000232,46.73326210000232,46.73326210000232,46.73326210000232,49.11528140000155,12,13,True,0,110,5.5,0.38125,0.7625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.4072315000012168, 0.55165250000573, 0.7109379000030458, 0.8781970999989426, 1.0462245000016992, 1.2222032999998191, 1.3912335999993957, 1.5271913000033237, 1.702226300003531, 1.8621970000021975, 2.0393960000001243, 2.2145171000011032, 2.3825341000047047]","[None, None, None, None, None, None, None, None, None, None, None, None, None]",49.11723940000229,49.129880100001174,49.13004321999688,50.12939819999883,50.11311279999791,,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
12,0,12,0,50.12939819999883,,50.113450199998624,50.12939819999883,50.12939819999883,50.12939819999883,50.12939819999883,50.12939819999883,50.12939819999883,53.09471530000155,17,16,False,0.8,126,6.3,0.475,0.95,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.40920209999603685, 0.5621641999969142, 0.7376947000011569, 0.9137690999996266, 1.0817745000022114, 1.2500265999988187, 1.4180303999964963, 1.5860290999989957, 1.7458188000018708, 1.921845899996697, 2.074243299997761, 2.2506127000015113, 2.4180864000009024, 2.5613497000013012, 2.737790099999984, 2.9058665999982622, 2.9618009999976493]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",53.09782809999888,53.14076159999968,53.11020392000137,53.14076159999968,53.11645159999898,53.14076159999968,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
13,0,13,0,53.14076159999968,,53.117070100001,53.14076159999968,53.14076159999968,53.14076159999968,53.14076159999968,53.14076159999968,53.14076159999968,54.443948699998145,6,7,True,0,126,6.3,0.240625,0.48125,"['l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.2806196000019554, 0.4404987000016263, 0.6165454000001773, 0.7845633000033558, 0.9605549999978393, 1.1285246999977971, 1.3045104999982868]","[None, None, None, None, None, None, None]",54.44655110000167,54.458762000002025,54.45885222000288,55.46549770000274,55.44190489999892,,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
14,0,14,0,55.46549770000274,,55.4425534999973,55.46549770000274,55.46549770000274,55.46549770000274,55.46549770000274,55.46549770000274,55.46549770000274,58.241127499997674,27,17,False,0.85,143,7.15,0.4984375,0.996875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.10851459999685176, 0.2844593999980134, 0.46049009999842383, 0.6285408999974607, 0.8124777999983053, 0.9885323999988032, 1.1645065999982762, 1.3245361000008415, 1.50048479999532, 1.6685687999997754, 1.8365349999949103, 1.9965239000011934, 2.156471499998588, 2.316481299996667, 2.4765345999985584, 2.6285245999970357, 2.7804921999995713]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",58.242840899998555,58.29537359999813,58.25602751999759,58.29537359999813,58.266463300002215,58.29537359999813,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
15,0,15,0,58.29537359999813,,58.26714840000204,58.29537359999813,58.29537359999813,58.29537359999813,58.29537359999813,58.29537359999813,58.29537359999813,59.90632200000255,8,9,True,0,143,7.15,0.2875,0.575,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.2789333000037004, 0.4233170000006794, 0.5991698000070755, 0.7591659000026993, 0.9351288000034401, 1.1031399000057718, 1.279004600000917, 1.4551204000017606, 1.6150098000071011]","[None, None, None, None, None, None, None, None, None]",59.909183499999926,59.92096209999727,59.921053419999225,60.9247378,60.904011500002525,,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
16,0,16,0,60.9247378,,60.904415099998005,60.9247378,60.9247378,60.9247378,60.9247378,60.9247378,60.9247378,63.85317159999977,20,17,False,0.85,160,8.0,0.4984375,0.996875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.17644989999826066, 0.4004999000026146, 0.5764523000034387, 0.7604965999998967, 0.9287432999990415, 1.1048315000007278, 1.2727031000031275, 1.4329819999984466, 1.60108030000265, 1.7769628000023658, 1.9533811000001151, 2.121402600001602, 2.3043163000038476, 2.4728606999997282, 2.6330663000044296, 2.793143200004124, 2.9373274000026868]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",63.85450370000035,63.874185300002864,63.868300420002925,63.874185300002864,63.856000899999344,63.874185300002864,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
17,0,17,0,63.874185300002864,,63.856328900001245,63.874185300002864,63.874185300002864,63.874185300002864,63.874185300002864,63.874185300002864,63.874185300002864,64.73540769999818,3,4,True,0,160,8.0,0.1703125,0.340625,"['l', 'l', 'l', 'l']","[0.35243479999917326, 0.5044352999975672, 0.6724652999982936, 0.8564084000026924]","[None, None, None, None]",64.73749849999876,64.75050590000319,64.75053621999905,65.74993530000211,65.73365680000279,,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
18,0,18,0,65.74993530000211,,65.73412239999743,65.74993530000211,65.74993530000211,65.74993530000211,65.74993530000211,65.74993530000211,65.74993530000211,70.13152699999773,29,21,False,1.05,181,9.05,0.5921875,1.184375,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.14133969999966212, 0.3025240999995731, 0.4932954999967478, 0.6703689999994822, 0.845294599996123, 1.0226098999992246, 1.1973073999979533, 1.365340999996988, 1.5253220000013243, 1.701894199999515, 1.869851600000402, 2.038701099998434, 2.1898136000017985, 2.3740262999999686, 2.5651212000011583, 2.7332568999991054, 2.8860021000000415, 3.2380489999995916, 3.3983676999996533, 3.5733164999983273, 4.389390700001968]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",70.13282839999738,70.16589540000132,70.14663271999962,70.16589540000132,70.14671829999861,70.16589540000132,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
19,0,19,0,70.16589540000132,,70.14707620000263,70.16589540000132,70.16589540000132,70.16589540000132,70.16589540000132,70.16589540000132,70.16589540000132,73.04566150000028,9,8,False,0.4,189,9.45,0.2875,0.575,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.5484026000049198, 0.7016339000037988, 0.8767344000007142, 1.0445078000047943, 1.2129965999993146, 1.3889185000007274, 1.565184400002181, 1.748912000002747, 2.8858203000054345]","[None, None, None, None, None, None, None, None, None]",73.04771160000382,73.09594640000432,73.060493519999,73.09594640000432,73.07623469999817,73.09594640000432,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
