trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_done,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.016015200002584606,,0.003639100003056228,0.016015200002584606,0.016015200002584606,0.016015200002584606,0.016015200002584606,3.7950137999723665,1,6,0.115,0.23,False,"['a', 'a', 'a', 'a', 'a', 'a', 'l', 'a']","[1.6801543000037782, 2.152020800043829, 2.3189533000113443, 2.487890399992466, 2.664123800001107, 2.8321128000388853, 3.359697900013998, 3.7754925999906845]","[None, None, None, None, None, None, None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
1,0,1,0,3.810375200002454,,3.796193099988159,3.810375200002454,3.810375200002454,3.810375200002454,3.810375200002454,5.110376199998427,1,7,0.115,0.23,False,"['l', 'a']","[1.1607882999815047, 1.2951203000266105]","[None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
2,0,2,0,5.125801799993496,,5.111193499993533,5.125801799993496,5.125801799993496,5.125801799993496,5.125801799993496,5.3941119000082836,1,3,0.115,0.23,False,"['l', 'a']","[0.1253357999958098, 0.26935850002337247]","[None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
3,0,3,0,5.408935399958864,,5.394863699970301,5.408935399958864,5.408935399958864,5.408935399958864,5.408935399958864,5.67671839997638,1,8,0.115,0.23,False,"['l', 'a']","[0.1122219999670051, 0.27346259995829314]","[None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
4,0,4,0,5.691989999962971,,5.677529699984007,5.691989999962971,5.691989999962971,5.691989999962971,5.691989999962971,7.142368900007568,2,9,0.13,0.26,False,"['a', 'a', 'a', 'a', 'l', 'l', 'a']","[0.4869069000124, 0.6704417000291869, 0.8137457999982871, 0.966998300049454, 1.141792600043118, 1.3107941000489518, 1.4539337000460364]","[None, None, None, None, None, None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
5,0,5,0,7.157253400015179,,7.143455699959304,7.157253400015179,7.157253400015179,7.157253400015179,7.157253400015179,7.4087034999975,1,4,0.115,0.23,False,"['l', 'a']","[0.11600820004241541, 0.2532401000498794]","[None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
6,0,6,0,7.423699499981012,,7.409523600013927,7.423699499981012,7.423699499981012,7.423699499981012,7.423699499981012,7.94153389998246,3,2,0.13,0.26,True,"['l', 'l', 'l']","[0.09268659999361262, 0.36342420004075393, 0.5235934000229463]","[None, None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
7,0,7,0,7.956837699981406,,7.942736299999524,7.956837699981406,7.956837699981406,7.956837699981406,7.956837699981406,9.83974650001619,1,1,0.115,0.23,False,"['a', 'a', 'a', 'a', 'a', 'l', 'a']","[0.1909495000145398, 0.7269145000027493, 0.9019802999682724, 1.0697971999761648, 1.2219696000101976, 1.3989997999742627, 1.8787668999866582]","[None, None, None, None, None, None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
8,0,8,0,9.855201300000772,,9.840506999986246,9.855201300000772,9.855201300000772,9.855201300000772,9.855201300000772,11.338825899991207,6,5,0.175,0.35,True,"['l', 'l', 'l', 'l', 'l', 'l']","[0.6509367999969982, 0.8041742999921553, 0.9881247000303119, 1.1561002000235021, 1.3149214999866672, 1.4836534999776632]","[None, None, None, None, None, None]",785438,,2024-02-13_17h12.18.109,bart,2023.2.2,60.03860483029609,2024-02-13 17h12.24.684987 +0000,
,,,,11.354018499958329,,11.339637900004163,11.354018499958329,11.354018499958329,11.354018499958329,11.354018499958329,,,,,,,,,,,,,,,,,
