7.3540 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.0358 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000174EECC3D00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000174EECC39A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000174EECC3B20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000174EEE93820>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.0360 	EXP 	window1: mouseVisible = True
9.0360 	EXP 	window1: backgroundImage = ''
9.0360 	EXP 	window1: backgroundFit = 'none'
9.0403 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.0404 	EXP 	window1: recordFrameIntervals = False
9.2025 	EXP 	window1: recordFrameIntervals = True
9.3863 	EXP 	Screen (0) actual frame rate measured at 59.89Hz
9.3864 	EXP 	window1: recordFrameIntervals = False
9.3867 	EXP 	window1: mouseVisible = True
12.0417 	EXP 	bart: status = STARTED
12.0419 	EXP 	window1: mouseVisible = True
12.0453 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([0.1, 0.2]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.0456 	EXP 	window1: mouseVisible = True
12.1112 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.1113 	EXP 	window1: mouseVisible = True
12.1187 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0037 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0039 	EXP 	New trial (rep=0, index=0): None
0.0110 	EXP 	balloon: autoDraw = True
0.0110 	EXP 	pump: autoDraw = True
0.0110 	EXP 	bank: autoDraw = True
1.4290 	DATA 	Keypress: l
2.4961 	DATA 	Keypress: l
3.0471 	DATA 	Keypress: l
3.3813 	DATA 	Keypress: l
4.7867 	DATA 	Keypress: a
4.8026 	EXP 	New trial (rep=1, index=0): None
4.8169 	EXP 	balloon: autoDraw = False
4.8169 	EXP 	pump: autoDraw = False
4.8169 	EXP 	bank: autoDraw = False
4.8169 	EXP 	balloon: autoDraw = True
4.8169 	EXP 	pump: autoDraw = True
4.8169 	EXP 	bank: autoDraw = True
5.7392 	DATA 	Keypress: a
5.7534 	EXP 	New trial (rep=2, index=0): None
5.7688 	EXP 	balloon: autoDraw = False
5.7688 	EXP 	pump: autoDraw = False
5.7688 	EXP 	bank: autoDraw = False
5.7688 	EXP 	balloon: autoDraw = True
5.7688 	EXP 	pump: autoDraw = True
5.7688 	EXP 	bank: autoDraw = True
6.1229 	DATA 	Keypress: l
6.3879 	DATA 	Keypress: l
6.5884 	DATA 	Keypress: l
6.7552 	DATA 	Keypress: l
6.9557 	DATA 	Keypress: l
7.1560 	DATA 	Keypress: a
7.1571 	EXP 	New trial (rep=3, index=0): None
7.1720 	EXP 	balloon: autoDraw = False
7.1720 	EXP 	pump: autoDraw = False
7.1720 	EXP 	bank: autoDraw = False
7.1720 	EXP 	balloon: autoDraw = True
7.1720 	EXP 	pump: autoDraw = True
7.1720 	EXP 	bank: autoDraw = True
7.5736 	DATA 	Keypress: a
7.5747 	EXP 	New trial (rep=4, index=0): None
7.5894 	EXP 	balloon: autoDraw = False
7.5894 	EXP 	pump: autoDraw = False
7.5894 	EXP 	bank: autoDraw = False
7.5894 	EXP 	balloon: autoDraw = True
7.5894 	EXP 	pump: autoDraw = True
7.5894 	EXP 	bank: autoDraw = True
8.1749 	DATA 	Keypress: a
8.1908 	EXP 	balloon: autoDraw = False
8.1908 	EXP 	pump: autoDraw = False
8.1908 	EXP 	bank: autoDraw = False
8.1909 	EXP 	bart: status = STOPPED
8.3145 	EXP 	window1: mouseVisible = True
