trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.06773479998810217,,0.003560399985872209,0.06773479998810217,0.06773479998810217,0.06773479998810217,0.06773479998810217,9.321746000030544,3,1,False,0.05,1,0.05,0.115,0.23,"['l', 'a']","[7.912282500008587, 9.25665580003988]","[None, None]",,653383,,2024-02-13_18h08.16.166,bart,2023.2.2,60.04271438373608,2024-02-13 18h08.23.315691 +0000,
1,0,1,0,9.335924900020473,,9.323053999978583,9.335924900020473,9.335924900020473,9.335924900020473,9.335924900020473,11.834497899981216,4,1,False,0.05,2,0.1,0.115,0.23,"['l', 'a']","[2.1325118000386283, 2.4929523000027984]","[None, None]",,653383,,2024-02-13_18h08.16.166,bart,2023.2.2,60.04271438373608,2024-02-13 18h08.23.315691 +0000,
2,0,2,0,11.849998600024264,,11.835361599980388,11.849998600024264,11.849998600024264,11.849998600024264,11.849998600024264,12.800941099994816,1,1,False,0.05,3,0.15,0.115,0.23,"['l', 'a']","[0.638719399983529, 0.9580628999974579]","[None, None]",,653383,,2024-02-13_18h08.16.166,bart,2023.2.2,60.04271438373608,2024-02-13 18h08.23.315691 +0000,
3,0,3,0,12.815700399980415,,12.801783500006422,12.815700399980415,12.815700399980415,12.815700399980415,12.815700399980415,13.749525399995036,2,1,False,0.05,4,0.2,0.115,0.23,"['l', 'a']","[0.6777955999714322, 0.9267636999720708]","[None, None]",,653383,,2024-02-13_18h08.16.166,bart,2023.2.2,60.04271438373608,2024-02-13 18h08.23.315691 +0000,
4,0,4,0,13.76512019999791,,13.751228299981449,13.76512019999791,13.76512019999791,13.76512019999791,13.76512019999791,17.2303187000216,5,5,False,0.25,9,0.45,0.175,0.35,"['l', 'l', 'l', 'l', 'l', 'a']","[1.5211965999915265, 1.7222241000272334, 1.9046639999723993, 2.1685097999870777, 3.001642399991397, 3.472970000002533]","[None, None, None, None, None, None]",,653383,,2024-02-13_18h08.16.166,bart,2023.2.2,60.04271438373608,2024-02-13 18h08.23.315691 +0000,
,,,,,,,,,,,,,,,,,,,,,,,17.231126700004097,,,,,,,,
