trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,bankedPumps,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.018834699993021786,,0.003946900018490851,0.018834699993021786,0.018834699993021786,0.018834699993021786,0.018834699993021786,9.149817300029099,8,8,False,8,0.22,0.44,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[3.4822842000285164, 4.170636900002137, 4.403049100015778, 4.729518600041047, 5.003337300033309, 5.209295800013933, 5.458379700023215, 5.986224200052675, 7.0989664000226185, 7.338523400016129, 7.514975400001276, 7.6900935000157915, 7.866830200015102, 8.234107300057076, 8.498182500014082, 9.122601500013843]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
1,0,1,0,9.165016700048,,9.151000100013334,9.165016700048,9.165016700048,9.165016700048,9.165016700048,13.030192200036254,3,1,False,9,0.115,0.23,"['l', 'a']","[3.162314199958928, 3.8675487999571487]","[None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
2,0,2,0,13.045330099994317,,13.031012999999803,13.045330099994317,13.045330099994317,13.045330099994317,13.045330099994317,16.610602500033565,10,1,False,10,0.115,0.23,"['a', 'l', 'a']","[2.027017700020224, 2.3869621999911033, 3.5621932999929413]","[None, None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
3,0,3,0,16.62573190004332,,16.611382900038734,16.62573190004332,16.62573190004332,16.62573190004332,16.62573190004332,19.374976499995682,6,7,True,10,0.19,0.38,"['l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.6136768000433221, 0.7976961000240408, 0.9747545000282116, 1.1582719000289217, 1.3424269999959506, 1.6618242000113241, 2.7502882000408135]","[None, None, None, None, None, None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
4,0,4,0,19.3900866000331,,19.375934000010602,19.3900866000331,19.3900866000331,19.3900866000331,19.3900866000331,24.05425520002609,9,10,True,10,0.23500000000000001,0.47000000000000003,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.7285046000033617, 0.9686253999825567, 1.1536313999677077, 1.3364810000057332, 1.6966768999700435, 1.9687868999899365, 2.6406887999619357, 2.9678009999915957, 3.3373953999835066, 4.657457199995406]","[None, None, None, None, None, None, None, None, None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
5,0,5,0,24.069665500021074,,24.055163000011817,24.069665500021074,24.069665500021074,24.069665500021074,24.069665500021074,25.503448300005402,7,1,False,11,0.115,0.23,"['l', 'a']","[1.1469599000411108, 1.4357354000094347]","[None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
6,0,6,0,25.518252700043377,,25.504323700035457,25.518252700043377,25.518252700043377,25.518252700043377,25.518252700043377,26.502093200047966,5,1,False,12,0.115,0.23,"['l', 'a']","[0.610004200018011, 0.9788649000111036]","[None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
7,0,7,0,26.51765700004762,,26.503093300038017,26.51765700004762,26.51765700004762,26.51765700004762,26.51765700004762,29.816576700017322,2,1,False,13,0.115,0.23,"['l', 'a']","[2.187517000013031, 3.299273999989964]","[None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
8,0,8,0,29.83157520001987,,29.817505500046536,29.83157520001987,29.83157520001987,29.83157520001987,29.83157520001987,31.098209200019483,4,1,False,14,0.115,0.23,"['l', 'a']","[0.9441313999705017, 1.2643823999678716]","[None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
9,0,9,0,31.11364490003325,,31.099012000020593,31.11364490003325,31.11364490003325,31.11364490003325,31.11364490003325,32.64725090004504,1,1,False,15,0.115,0.23,"['l', 'a']","[1.231602500018198, 1.5358667999971658]","[None, None]",695611,,2024-02-13_17h26.26.450,bart,2023.2.2,60.057390846215604,2024-02-13 17h26.33.313305 +0000,
