trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,choice.stopped,nPumps,bSize_x,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.010721099999500439,,0.003658400004496798,0.010721099999500439,0.010721099999500439,0.010721099999500439,5.056808299996192,12.0,214.00000000000023,False,a,5.047767499985639,None,866042,,2024-02-12_20h23.56.789,bart,2023.2.2,59.92196960995804,2024-02-12 20h24.03.556083 +0000,
1,0,1,0,5.0711907999939285,,5.058795999997528,5.0711907999939285,5.0711907999939285,5.0711907999939285,5.590214700001525,0.0,0.1,False,a,0.5204237999860197,None,866042,,2024-02-12_20h23.56.789,bart,2023.2.2,59.92196960995804,2024-02-12 20h24.03.556083 +0000,
2,0,2,0,5.605525899998611,,5.590829199994914,5.605525899998611,5.605525899998611,5.605525899998611,6.058066300000064,0.0,0.1,False,a,0.4614931000105571,None,866042,,2024-02-12_20h23.56.789,bart,2023.2.2,59.92196960995804,2024-02-12 20h24.03.556083 +0000,
3,0,3,0,6.073354599997401,,6.058825700019952,6.073354599997401,6.073354599997401,6.073354599997401,6.8426595000200905,2.0,7.599999999999996,False,a,0.777268699981505,None,866042,,2024-02-12_20h23.56.789,bart,2023.2.2,59.92196960995804,2024-02-12 20h24.03.556083 +0000,
4,0,4,0,6.85840029999963,,6.843262400012463,6.85840029999963,6.85840029999963,6.85840029999963,8.112083200016059,1.0,3.3999999999999986,False,a,1.2563495000067633,None,866042,,2024-02-12_20h23.56.789,bart,2023.2.2,59.92196960995804,2024-02-12 20h24.03.556083 +0000,
