trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.017892300005769357,,0.003642700001364574,0.017892300005769357,0.017892300005769357,0.017892300005769357,0.017892300005769357,2.581912099994952,2,3,True,0,0,0.0,0.13,0.26,"['l', 'l', 'l']","[1.782248100003926, 2.2702697000058834, 2.5572680000041146]","[None, None, None]",,,,,,,,566333,,2024-02-15_19h06.58.695,bart,2023.2.2,60.02170384742319,2024-02-15 19h07.05.336019 +0000,
1,0,1,0,2.5970133999944665,,2.583795500002452,2.5970133999944665,2.5970133999944665,2.5970133999944665,2.5970133999944665,4.281002100004116,5,6,True,0,0,0.0,0.175,0.35,"['l', 'l', 'l', 'l', 'l', 'l']","[0.25066879999940284, 0.76167059999716, 1.009652200009441, 1.233609200004139, 1.4496189000055892, 1.6816328999993857]","[None, None, None, None, None, None]",,,,,,,,566333,,2024-02-15_19h06.58.695,bart,2023.2.2,60.02170384742319,2024-02-15 19h07.05.336019 +0000,
2,0,2,0,4.295641000004252,,4.282299600003171,4.295641000004252,4.295641000004252,4.295641000004252,4.295641000004252,6.595418700002483,3,3,False,0.15000000000000002,3,0.15,0.14500000000000002,0.29000000000000004,"['l', 'l', 'l', 'a']","[1.345489200000884, 1.5854421999974875, 1.8255998999957228, 2.2984486000059405]","[None, None, None, None]",,,,,,,,566333,,2024-02-15_19h06.58.695,bart,2023.2.2,60.02170384742319,2024-02-15 19h07.05.336019 +0000,
3,0,3,0,6.6103949999960605,,6.596609300002456,6.6103949999960605,6.6103949999960605,6.6103949999960605,6.6103949999960605,7.427912900006049,4,1,False,0.05,4,0.2,0.115,0.23,"['l', 'a']","[0.456232500000624, 0.824194400003762]","[None, None]",,,,,,,,566333,,2024-02-15_19h06.58.695,bart,2023.2.2,60.02170384742319,2024-02-15 19h07.05.336019 +0000,
4,0,4,0,7.443062000005739,,7.429010000007111,7.443062000005739,7.443062000005739,7.443062000005739,7.443062000005739,8.443610700007412,1,1,False,0.05,5,0.25,0.115,0.23,"['l', 'a']","[0.66385050000099, 0.999738200000138]","[None, None]",,,,,,,,566333,,2024-02-15_19h06.58.695,bart,2023.2.2,60.02170384742319,2024-02-15 19h07.05.336019 +0000,
,,,,,,,,,,,,,,,,,,,,,,,8.444591899999068,8.45880940000643,8.45880940000643,10.441821400003391,space,1.9818960999982664,None,566333,,2024-02-15_19h06.58.695,bart,2023.2.2,60.02170384742319,2024-02-15 19h07.05.336019 +0000,
