trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_done,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.016658700013067573,,0.0034465999924577773,0.016658700013067573,0.016658700013067573,0.016658700013067573,0.016658700013067573,6.4249477999983355,8,7,0.20500000000000002,0.41000000000000003,True,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[3.500979600008577, 3.781575699977111, 4.052702299959492, 4.310254599957261, 4.565533499990124, 4.83077180001419, 5.268768000009004, 6.404707000008784]","[None, None, None, None, None, None, None, None]",138916,,2024-02-13_17h07.47.491,bart,2023.2.2,59.920856523002,2024-02-13 17h07.54.575348 +0000,
1,0,1,0,6.440858999965712,,6.427120300009847,6.440858999965712,6.440858999965712,6.440858999965712,6.440858999965712,7.224405999993905,2,1,0.115,0.23,True,"['l', 'l']","[0.5817929999902844, 0.7819091000128537]","[None, None]",138916,,2024-02-13_17h07.47.491,bart,2023.2.2,59.920856523002,2024-02-13 17h07.54.575348 +0000,
2,0,2,0,7.25335349998204,,7.226003999996465,7.25335349998204,7.25335349998204,7.25335349998204,7.25335349998204,9.272754899982829,9,8,0.22,0.44,True,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.16178139997646213, 0.3616856999578886, 0.9376839000033215, 1.1136696999892592, 1.2976967999711633, 1.4577300999662839, 1.6496941999648698, 1.8337631999747828, 2.0177013999782503]","[None, None, None, None, None, None, None, None, None]",138916,,2024-02-13_17h07.47.491,bart,2023.2.2,59.920856523002,2024-02-13 17h07.54.575348 +0000,
3,0,3,0,9.287950099969748,,9.274346699996386,9.287950099969748,9.287950099969748,9.287950099969748,9.287950099969748,14.301670100016054,0,6,0.1,0.2,False,['a'],[5.0158658000291325],[None],138916,,2024-02-13_17h07.47.491,bart,2023.2.2,59.920856523002,2024-02-13 17h07.54.575348 +0000,
4,0,4,0,14.316980200004764,,14.302686200011522,14.316980200004764,14.316980200004764,14.316980200004764,14.316980200004764,15.800402299966663,0,4,0.1,0.2,False,['a'],[1.4851066999835894],[None],138916,,2024-02-13_17h07.47.491,bart,2023.2.2,59.920856523002,2024-02-13 17h07.54.575348 +0000,
5,0,5,0,15.815656699996907,,15.801192599989008,15.815656699996907,15.815656699996907,15.815656699996907,15.815656699996907,16.283349099976476,0,3,0.1,0.2,False,['a'],[0.4743260000250302],[None],138916,,2024-02-13_17h07.47.491,bart,2023.2.2,59.920856523002,2024-02-13 17h07.54.575348 +0000,
,,,,16.298356999992393,,16.284581699990667,16.298356999992393,16.298356999992393,16.298356999992393,16.298356999992393,,,,,,,,,,,,,,,,,
