trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03739019999920856,,0.0036426000006031245,0.03739019999920856,0.03739019999920856,0.03739019999920856,0.03739019999920856,0.03739019999920856,0.03739019999920856,4.390192699996987,2,3,True,0,0,0.0,0.33999999999999997,0.6799999999999999,"['l', 'l', 'l']","[1.3109807000000728, 2.509969099992304, 4.358283299996401]","[None, None, None]",,,,,,,,494080,,2024-02-15_19h24.07.204,bart,2023.2.2,60.12567468323363,2024-02-15 19h24.13.965095 +0000,
1,0,1,0,4.416303899997729,,4.393315399996936,4.416303899997729,4.416303899997729,4.416303899997729,4.416303899997729,4.416303899997729,4.416303899997729,6.570494500003406,3,4,True,0,0,0.0,0.45999999999999996,0.9199999999999999,"['l', 'l', 'l', 'l']","[0.4983695999981137, 0.8823547999927541, 1.2900332999997772, 2.1460511999903247]","[None, None, None, None]",,,,,,,,494080,,2024-02-15_19h24.07.204,bart,2023.2.2,60.12567468323363,2024-02-15 19h24.13.965095 +0000,
2,0,2,0,6.6372298000060255,,6.571405399998184,6.6372298000060255,6.6372298000060255,6.6372298000060255,6.6372298000060255,6.6372298000060255,6.6372298000060255,9.968487999998615,4,5,True,0,0,0.0,0.58,1.16,"['l', 'l', 'l', 'l', 'l']","[0.3187253999931272, 0.6775784000055864, 1.1175496999931056, 1.95786369999405, 3.3344572000059998]","[None, None, None, None, None]",,,,,,,,494080,,2024-02-15_19h24.07.204,bart,2023.2.2,60.12567468323363,2024-02-15 19h24.13.965095 +0000,
3,0,3,0,9.982883899996523,,9.969467899994925,9.982883899996523,9.982883899996523,9.982883899996523,9.982883899996523,9.982883899996523,9.982883899996523,11.134127900004387,1,2,True,0,0,0.0,0.22,0.44,"['l', 'l']","[0.4945080000034068, 1.1581284000130836]","[None, None]",,,,,,,,494080,,2024-02-15_19h24.07.204,bart,2023.2.2,60.12567468323363,2024-02-15 19h24.13.965095 +0000,
4,0,4,0,11.148718900003587,,11.13505840000289,11.148718900003587,11.148718900003587,11.148718900003587,11.148718900003587,11.148718900003587,11.148718900003587,41.49288659999729,5,5,False,0.25,5,0.25,0.7,1.4,"['l', 'l', 'l', 'l', 'l', 'a']","[0.5336334000021452, 0.9335849999915808, 1.2537679999950342, 1.6620925000024727, 2.0871283000014955, 30.341631299990695]","[None, None, None, None, None, None]",,,,,,,,494080,,2024-02-15_19h24.07.204,bart,2023.2.2,60.12567468323363,2024-02-15 19h24.13.965095 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,41.49422900000354,41.506854599996586,41.506854599996586,42.67363160000241,space,1.159661600002437,None,494080,,2024-02-15_19h24.07.204,bart,2023.2.2,60.12567468323363,2024-02-15 19h24.13.965095 +0000,
