trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,choice.stopped,nPumps,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.011244799999985844,,0.003560600016498938,0.011244799999985844,0.011244799999985844,0.011244799999985844,2.4154929000069387,6.0,0.175,0.35,True,l,2.4006050000025425,None,636332,,2024-02-12_20h50.07.391,bart,2023.2.2,59.910086943855795,2024-02-12 20h50.14.860274 +0000,
1,0,1,0,2.430623000022024,,2.4164116000174545,2.430623000022024,2.430623000022024,2.430623000022024,4.486623500008136,10.0,0.23500000000000001,0.47000000000000003,True,l,2.052819200005615,None,636332,,2024-02-12_20h50.07.391,bart,2023.2.2,59.910086943855795,2024-02-12 20h50.14.860274 +0000,
2,0,2,0,4.501759100006893,,4.487754800007679,4.501759100006893,4.501759100006893,4.501759100006893,5.4052884000120685,5.0,0.16,0.32,True,l,0.9004948000074364,None,636332,,2024-02-12_20h50.07.391,bart,2023.2.2,59.910086943855795,2024-02-12 20h50.14.860274 +0000,
3,0,3,0,5.420387700025458,,5.40623720001895,5.420387700025458,5.420387700025458,5.420387700025458,5.92327140000998,3.0,0.13,0.26,True,l,0.5017495999927633,None,636332,,2024-02-12_20h50.07.391,bart,2023.2.2,59.910086943855795,2024-02-12 20h50.14.860274 +0000,
4,0,4,0,5.938146900007268,,5.924521200009622,5.938146900007268,5.938146900007268,5.938146900007268,7.66036740000709,10.0,0.23500000000000001,0.47000000000000003,True,l,1.7282322999963071,None,636332,,2024-02-12_20h50.07.391,bart,2023.2.2,59.910086943855795,2024-02-12 20h50.14.860274 +0000,
