trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03821400000015274,,0.003618799994001165,0.03821400000015274,0.03821400000015274,0.03821400000015274,0.03821400000015274,0.03821400000015274,0.03821400000015274,3.421756700001424,2,2,False,0.1,2,0.1,0.13,0.26,"['l', 'l', 'a']","[1.2176785000046948, 1.4976137000048766, 3.3856929000030505]","[None, None, None]",,,,580179,,2024-02-15_19h21.16.535,bart,2023.2.2,60.01889394669955,2024-02-15 19h21.23.841091 +0000,
1,0,1,0,3.4536183000018355,,3.425542700002552,3.4536183000018355,3.4536183000018355,3.4536183000018355,3.4536183000018355,3.4536183000018355,3.4536183000018355,4.3362263000017265,1,2,True,0,2,0.1,0.115,0.23,"['l', 'l']","[0.6994551999960095, 0.883656100006192]","[None, None]",,,,580179,,2024-02-15_19h21.16.535,bart,2023.2.2,60.01889394669955,2024-02-15 19h21.23.841091 +0000,
2,0,2,0,4.354392799999914,,4.337149099999806,4.354392799999914,4.354392799999914,4.354392799999914,4.354392799999914,4.354392799999914,4.354392799999914,5.701741299999412,5,2,False,0.1,4,0.2,0.13,0.26,"['a', 'l', 'l', 'a']","[0.33240279999154154, 0.9323284999991301, 1.0756219999893801, 1.3406405999994604]","[None, None, None, None]",,,,580179,,2024-02-15_19h21.16.535,bart,2023.2.2,60.01889394669955,2024-02-15 19h21.23.841091 +0000,
3,0,3,0,5.775194799993187,,5.70263809998869,5.775194799993187,5.775194799993187,5.775194799993187,5.775194799993187,5.775194799993187,5.775194799993187,6.567582799994852,3,2,False,0.1,6,0.3,0.13,0.26,"['l', 'l', 'a']","[0.4157715999899665, 0.5770428999967407, 0.7847824999917066]","[None, None, None]",,,,580179,,2024-02-15_19h21.16.535,bart,2023.2.2,60.01889394669955,2024-02-15 19h21.23.841091 +0000,
4,0,4,0,6.585533699995722,,6.568574599994463,6.585533699995722,6.585533699995722,6.585533699995722,6.585533699995722,6.585533699995722,6.585533699995722,7.334218099989812,4,2,False,0.1,8,0.4,0.13,0.26,"['l', 'l', 'a']","[0.4053159000031883, 0.5418136000080267, 0.7497149000118952]","[None, None, None]",,,,580179,,2024-02-15_19h21.16.535,bart,2023.2.2,60.01889394669955,2024-02-15 19h21.23.841091 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,7.335383999990881,7.3491007999982685,7.3491007999982685,,,,,,,,
