trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_done,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.016827700019348413,,0.0037329000188037753,0.016827700019348413,0.016827700019348413,0.016827700019348413,0.016827700019348413,8.04568050004309,11.0,10,0.25,0.5,True,l,8.032995700021274,None,735625,,2024-02-13_16h33.13.437,bart,2023.2.2,60.04552651535435,2024-02-13 16h33.20.089585 +0000,
1,0,1,0,8.108665400010068,,8.047030400019139,8.108665400010068,8.108665400010068,8.108665400010068,8.108665400010068,11.642340600024909,7.0,6,0.19,0.38,True,l,3.5242870000074618,None,735625,,2024-02-13_16h33.13.437,bart,2023.2.2,60.04552651535435,2024-02-13 16h33.20.089585 +0000,
2,0,2,0,11.657903100014664,,11.643155300000217,11.657903100014664,11.657903100014664,11.657903100014664,11.657903100014664,16.888026500004344,8.0,7,0.20500000000000002,0.41000000000000003,True,l,5.228314100007992,None,735625,,2024-02-13_16h33.13.437,bart,2023.2.2,60.04552651535435,2024-02-13 16h33.20.089585 +0000,
,,,,16.903579900041223,,16.888766999996733,16.903579900041223,16.903579900041223,16.903579900041223,16.903579900041223,,,,,,,,,,,,,,,,,
