7.6919 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
9.3019 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017951447C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017951447BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017951447A30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000179516543A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.3020 	EXP 	window1: mouseVisible = True
9.3020 	EXP 	window1: backgroundImage = ''
9.3021 	EXP 	window1: backgroundFit = 'none'
9.3056 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.3057 	EXP 	window1: recordFrameIntervals = False
9.4687 	EXP 	window1: recordFrameIntervals = True
9.6525 	EXP 	Screen (0) actual frame rate measured at 59.87Hz
9.6526 	EXP 	window1: recordFrameIntervals = False
9.6526 	EXP 	window1: mouseVisible = True
12.3330 	EXP 	bart: status = STARTED
12.3332 	EXP 	window1: mouseVisible = True
12.3366 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([0.1, 0.2]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
12.3368 	EXP 	window1: mouseVisible = True
12.4027 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='PUMP', units='norm', win=Window(...), wrapWidth=1)
12.4028 	EXP 	window1: mouseVisible = True
12.4107 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='BANK', units='norm', win=Window(...), wrapWidth=1)
0.0033 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0035 	EXP 	New trial (rep=0, index=0): None
0.0104 	EXP 	balloon: autoDraw = True
0.0104 	EXP 	pump: autoDraw = True
0.0104 	EXP 	bank: autoDraw = True
1.2212 	DATA 	Keypress: l
2.6545 	DATA 	Keypress: l
3.1216 	DATA 	Keypress: l
3.5558 	DATA 	Keypress: l
3.8900 	DATA 	Keypress: l
4.1907 	DATA 	Keypress: a
4.1919 	EXP 	New trial (rep=1, index=0): None
4.2065 	EXP 	balloon: autoDraw = False
4.2065 	EXP 	pump: autoDraw = False
4.2065 	EXP 	bank: autoDraw = False
4.2065 	EXP 	balloon: autoDraw = True
4.2065 	EXP 	pump: autoDraw = True
4.2065 	EXP 	bank: autoDraw = True
4.5580 	DATA 	Keypress: a
4.5594 	EXP 	New trial (rep=2, index=0): None
4.5740 	EXP 	balloon: autoDraw = False
4.5740 	EXP 	pump: autoDraw = False
4.5740 	EXP 	bank: autoDraw = False
4.5740 	EXP 	balloon: autoDraw = True
4.5740 	EXP 	pump: autoDraw = True
