trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,bangSlide.started,text.started,bang.started,text.stopped,bangSlide.stopped,bang.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.039359000002150424,,0.004181199998129159,0.039359000002150424,0.039359000002150424,0.039359000002150424,0.039359000002150424,0.039359000002150424,0.039359000002150424,8.844638199996552,18,19,True,0,0,0.0,0.2828125,0.565625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[3.016881999996258, 3.9691160999936983, 4.281770799992955, 4.62555219999922, 4.937124399992172, 5.240662299998803, 5.728963500005193, 6.03294299999834, 6.2971735000028275, 6.57809680000355, 6.857330099999672, 7.169182600002387, 7.457440999991377, 7.681371900005615, 7.897935699991649, 8.104767400000128, 8.352809799995157, 8.608584599991445, 8.808642899995903]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",8.846809299997403,8.859426399998483,8.859922760006157,9.859396600004402,9.842741500004195,,340780,,2024-02-15_22h06.46.808,bart,2023.2.2,60.07456455256073,2024-02-15 22h06.57.439860 +0000,
1,0,1,0,9.859396600004402,,9.843325900001219,9.859396600004402,9.859396600004402,9.859396600004402,9.859396600004402,9.859396600004402,9.859396600004402,27.046827400001348,45,44,False,2.2,44,2.2,0.546875,1.09375,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[2.0048429000016768, 2.307628800001112, 2.5641224999999395, 2.8604536000057124, 3.1319551000051433, 3.388532299999497, 3.6366808000020683, 3.908237099996768, 4.196669700002531, 4.396678200006136, 4.667507899997872, 4.907653300004313, 5.147685200005071, 5.3648749999993015, 5.635378699997091, 5.868209200009005, 6.084832100008498, 6.307460500000161, 6.515601000006427, 6.7075055000022985, 6.923777700008941, 7.147364100004779, 7.339769900005194, 7.5395752000040375, 7.723883900005603, 7.916461600005277, 8.084403500004555, 8.260536800007685, 8.443424299999606, 8.64342380000744, 8.875536000006832, 9.075557500007562, 9.284428800005116, 9.724727799999528, 9.94015650000074, 10.123962500001653, 10.508625100002973, 10.716380700003356, 10.916473999997834, 11.147465600006399, 11.683771099997102, 12.796581500006141, 13.299834899997222, 17.187925899997936]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",27.049145900004078,27.098844699998153,27.06206445999851,27.098844699998153,27.07958890000009,27.098844699998153,340780,,2024-02-15_22h06.46.808,bart,2023.2.2,60.07456455256073,2024-02-15 22h06.57.439860 +0000,
2,0,2,0,27.098844699998153,,27.08001790000708,27.098844699998153,27.098844699998153,27.098844699998153,27.098844699998153,27.098844699998153,27.098844699998153,31.575736200000392,13,14,True,0,44,2.2,0.23203125000000002,0.46406250000000004,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[1.4766385999973863, 1.6779799999931129, 1.8539912999985972, 2.0379307999974117, 2.245228699990548, 2.4207376999984263, 2.6370303000003332, 2.8710392999928445, 3.1087696999893524, 3.3647185000008903, 3.597269199992297, 3.821701699998812, 4.133662299995194, 4.469963600000483]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",31.57756309999968,31.590999799998826,31.591252860001987,32.59117640000477,32.57415359999868,,340780,,2024-02-15_22h06.46.808,bart,2023.2.2,60.07456455256073,2024-02-15 22h06.57.439860 +0000,
3,0,3,0,32.59117640000477,,32.574606700000004,32.59117640000477,32.59117640000477,32.59117640000477,32.59117640000477,32.59117640000477,32.59117640000477,45.33143809999456,17,18,True,0,44,2.2,0.27265625000000004,0.5453125000000001,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[5.817620800007717, 5.99379590000899, 6.154042000009213, 6.313823400007095, 6.505624199999147, 6.673189200009801, 6.865960900002392, 7.161301000000094, 7.497293600012199, 7.865058100011083, 9.14650280000933, 9.657181400005356, 10.137275300003239, 10.514452200004598, 10.962465600008727, 11.336970300006215, 11.738044700003229, 12.746156400011387]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",45.33347569999751,45.34636749999481,45.34661136000068,46.34547090000706,46.32932900000014,,340780,,2024-02-15_22h06.46.808,bart,2023.2.2,60.07456455256073,2024-02-15 22h06.57.439860 +0000,
,,,,46.34547090000706,,46.329873900001985,46.34547090000706,46.34547090000706,46.34547090000706,46.34547090000706,46.34547090000706,46.34547090000706,,,,,,,,,,,,,,,,,,,,,,,,,,
