trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,bangSlide.started,text.started,text.stopped,bangSlide.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03810210000665393,,0.0035982999979751185,0.03810210000665393,0.03810210000665393,0.03810210000665393,0.03810210000665393,0.03810210000665393,0.03810210000665393,3.2683587000065017,9,3,False,0.15,3,0.15,0.29500000000000004,0.5900000000000001,"['l', 'l', 'l', 'a']","[1.61727279999468, 2.1381264999945415, 2.641410600001109, 3.2338241999968886]","[None, None, None, None]",3.270214300006046,3.290427500003716,3.290427500003716,3.2706949999992503,415144,,2024-02-15_20h01.24.580,bart,2023.2.2,60.037163000315566,2024-02-15 20h01.31.281907 +0000,
1,0,1,0,3.290427500003716,,3.270922399999108,3.290427500003716,3.290427500003716,3.290427500003716,3.290427500003716,3.290427500003716,3.290427500003716,4.817970800009789,1,2,True,0,3,0.15,0.165,0.33,"['l', 'l']","[0.8190715000091586, 1.5317111000040313]","[None, None]",4.819013900007121,4.832215600006748,5.831609600005322,5.815288600002532,415144,,2024-02-15_20h01.24.580,bart,2023.2.2,60.037163000315566,2024-02-15 20h01.31.281907 +0000,
2,0,2,0,5.831609600005322,,5.815566900011618,5.831609600005322,5.831609600005322,5.831609600005322,5.831609600005322,5.831609600005322,5.831609600005322,10.929189800008317,6,7,True,0,3,0.15,0.49,0.98,"['l', 'l', 'l', 'l', 'l', 'l', 'l']","[1.2860829999990528, 1.589926300002844, 1.8553556999977445, 2.142449299994041, 2.4554083999973955, 2.871593500007293, 5.101889300000039]","[None, None, None, None, None, None, None]",10.930250200006412,10.943868800008204,11.943070300010731,11.926753000007011,415144,,2024-02-15_20h01.24.580,bart,2023.2.2,60.037163000315566,2024-02-15 20h01.31.281907 +0000,
3,0,3,0,11.943070300010731,,11.927055100008147,11.943070300010731,11.943070300010731,11.943070300010731,11.943070300010731,11.943070300010731,11.943070300010731,16.87411930000235,4,3,False,0.15,6,0.3,0.29500000000000004,0.5900000000000001,"['l', 'l', 'l', 'a']","[3.5156313000043156, 3.8497987000009743, 4.153970600003959, 4.930714300004183]","[None, None, None, None]",16.875158399998327,16.896880400003283,16.896880400003283,16.87567670000135,415144,,2024-02-15_20h01.24.580,bart,2023.2.2,60.037163000315566,2024-02-15 20h01.31.281907 +0000,
4,0,4,0,16.896880400003283,,16.876086200005375,16.896880400003283,16.896880400003283,16.896880400003283,16.896880400003283,16.896880400003283,16.896880400003283,18.889284300006693,5,4,False,0.2,10,0.5,0.36,0.72,"['l', 'l', 'l', 'l', 'a']","[0.7334097999992082, 1.0057199000002583, 1.6148095000098692, 1.7648738999996567, 1.9888911000016378]","[None, None, None, None, None]",18.890297899997677,18.910656899999594,18.910656899999594,18.890783399998327,415144,,2024-02-15_20h01.24.580,bart,2023.2.2,60.037163000315566,2024-02-15 20h01.31.281907 +0000,
5,0,5,0,18.910656899999594,,18.891020299997763,18.910656899999594,18.910656899999594,18.910656899999594,18.910656899999594,18.910656899999594,18.910656899999594,21.60389500000747,10,10,False,0.5,20,1.0,0.75,1.5,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.5683261000085622, 0.7606697000010172, 0.9449752000073204, 1.1294093000033172, 1.3044375000026776, 1.4813137000019196, 1.6404677999962587, 1.9845526999997674, 2.1597009999968577, 2.3444465000065975, 2.6887732000031974]","[None, None, None, None, None, None, None, None, None, None, None]",21.604747200006386,21.623639400000684,21.623639400000684,21.605104200003552,415144,,2024-02-15_20h01.24.580,bart,2023.2.2,60.037163000315566,2024-02-15 20h01.31.281907 +0000,
6,0,6,0,21.623639400000684,,21.605329800004256,21.623639400000684,21.623639400000684,21.623639400000684,21.623639400000684,21.623639400000684,21.623639400000684,22.93565930001205,3,4,True,0,20,1.0,0.29500000000000004,0.5900000000000001,"['l', 'l', 'l', 'l']","[0.6381908000039402, 0.8541837000084342, 1.0387771000096109, 1.3190720999991754]","[None, None, None, None]",22.93641770000977,22.950647600009688,23.94988290000765,23.93357290000131,415144,,2024-02-15_20h01.24.580,bart,2023.2.2,60.037163000315566,2024-02-15 20h01.31.281907 +0000,
,,,,23.94988290000765,,23.93387380000786,23.94988290000765,23.94988290000765,23.94988290000765,23.94988290000765,23.94988290000765,23.94988290000765,,,,,,,,,,,,,,,,,,,,,,,,
