trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,choice.stopped,nPumps,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.010620600020047277,,0.0038111000030767173,0.010620600020047277,0.010620600020047277,0.010620600020047277,14.4016276000184,69.0,1.135,2.27,False,a,14.392159699986223,None,085771,,2024-02-12_20h34.23.518,bart,2023.2.2,59.91137908978348,2024-02-12 20h34.30.292893 +0000,
1,0,1,0,14.41522680001799,,14.402636900020298,14.41522680001799,14.41522680001799,14.41522680001799,15.936648700007936,7.0,0.20500000000000002,0.41000000000000003,False,a,1.5291694999905303,None,085771,,2024-02-12_20h34.23.518,bart,2023.2.2,59.91137908978348,2024-02-12 20h34.30.292893 +0000,
2,0,2,0,15.951962799998,,15.937290600006236,15.951962799998,15.951962799998,15.951962799998,16.905316699994728,5.0,0.175,0.35,False,a,0.9617196999897715,None,085771,,2024-02-12_20h34.23.518,bart,2023.2.2,59.91137908978348,2024-02-12 20h34.30.292893 +0000,
3,0,3,0,16.920621400000528,,16.905966300022556,16.920621400000528,16.920621400000528,16.920621400000528,17.57360130001325,2.0,0.13,0.26,False,a,0.6580706000095233,None,085771,,2024-02-12_20h34.23.518,bart,2023.2.2,59.91137908978348,2024-02-12 20h34.30.292893 +0000,
4,0,4,0,17.588915500004077,,17.574636400007876,17.588915500004077,17.588915500004077,17.588915500004077,18.508513300010236,2.0,0.13,0.26,False,a,0.9167664000124205,None,085771,,2024-02-12_20h34.23.518,bart,2023.2.2,59.91137908978348,2024-02-12 20h34.30.292893 +0000,
